,area,mean,min,max,length,mm,,,,,,,,
24,954,160.331,90.501,184.477,953.47,1.437394849,,,,,,,,
32,865,158.655,77.667,175.525,864.418,1.303145333,,,,,,,,
39,818,176.922,108.288,255,817.896,1.233011524,,,,,,,,
6,807,175.138,114.032,192.828,806.883,1.216408978,,,,,,,,
11,803,160.825,126.99,183.951,803.472,1.211266756,,,,,,,Column1,
27,795,156.003,135.431,255,794.989,1.198478288,,Picture,No Tubes,Tubes,,,,
33,786,143.288,102.533,169.453,785.419,1.184051124,,A,85,269,,,Mean,1.105149307
21,779,166.701,108.905,191.165,778.513,1.173640048,,,,,,,Standard Error,0.032078226
36,761,149.23,71.747,255,760.657,1.1467214,,,,,,,Median,1.100454976
22,741,146.757,99.606,175.526,740.214,1.115902746,,,,,,,Mode,#N/A
16,720,152.506,123.473,255,719.72,1.085007206,,,,,,,Standard Deviation,0.14345819
1,712,155.895,85.882,174.817,712.05,1.073444369,,,,,,,Sample Variance,0.020580252
7,698,153.004,55.062,171.505,697.259,1.051146334,,Length Conversion,663.332,,,,Kurtosis,-0.161344843
20,696,152.467,95.077,255,695.227,1.048083011,,,,,,,Skewness,0.401124456
2,651,168.35,113.3,177.665,650.341,0.980415539,,Mean Length,0.930639861,,,,Range,0.535140774
10,626,159.899,104.918,174.754,627.625,0.946170244,,Median Length,0.895533458,,,,Minimum,0.902254075
14,627,151.061,97.392,167.883,626.69,0.944760693,,Standard Deviation,0.214874524,,,,Maximum,1.437394849
30,623,153.053,97.333,255,623.117,0.93937425,,Maximum,1.437394849,,,,Sum,22.10298614
31,606,150.308,124,178.488,605.164,0.912309371,,,,,,,Count,20
4,599,164.785,129.984,176.044,598.494,0.902254075,,,,,,,,0
13,590,158.873,83.562,180.865,589.578,0.888812842,,,,,,,,
23,575,148.285,88.333,161.304,574.569,0.866186163,,,,,,,,
34,572,159.408,114.783,179,571.795,0.862004245,,,,,,,,
5,569,167.012,80.874,209.721,568.483,0.85701127,,,,,,,,
17,567,156.769,110.739,255,566.577,0.854137898,,,,,,,,
40,558,155.002,88.886,255,557.956,0.841141389,,,,,,,,
3,537,160.39,105.333,180.003,536.965,0.809496602,,,,,,,,
18,535,159.422,110.187,186.659,534.791,0.806219208,,,,,,,,
29,528,145.743,92.015,255,527.867,0.795780997,,,,,,,,
35,522,154.652,104,255,524.152,0.790180483,,,,,,,,
15,507,146.361,104.864,168.972,506.644,0.76378646,,,,,,,,
38,502,164.597,137.333,176.217,501.651,0.756259309,,,,,,,,
37,501,169.305,108.101,195.883,500.932,0.755175387,,,,,,,,
12,462,153.15,103.333,173.563,461.645,0.695948635,,,,,,,,
26,461,157.464,127.366,171.015,460.442,0.694135064,,,,,,,,
8,460,159.004,114.831,255,459.936,0.693372248,,,,,,,,
28,430,167.077,112.057,255,429.905,0.648099293,,,,,,,,
9,397,159.259,111.533,179.866,397.075,0.598606731,,,,,,,,
25,392,155.582,116.207,170.455,391.199,0.589748422,,,,,,,,
19,370,135.7,103.852,163.289,369.148,0.556505641,,,,,,,,
