,area,mean,min,max,length,length (mm),,,,,
1,16,132.475,107.901,153.715,15.652,0.023896548,,,,,
2,17,126.176,112.542,135.408,16.553,0.025272142,,,,,
3,14,140.33,123.05,168.717,13.454,0.020540772,,,,,
4,18,139.913,133.462,156.333,17.889,0.027311867,,,Picture,No Tubes,Tubes
5,12,159.912,148.034,168.667,11.705,0.017870502,,,A,1057,23
6,15,114.508,86.623,126.781,14.036,0.021429335,,,B,348,16
7,13,139.345,123.577,161.939,12.207,0.018636926,,,C,333,21
8,15,141.492,122.232,167.401,14.866,0.02269653,,,D,327,17
9,11,134.709,124.729,151,10.44,0.015939175,,,Total,2065,77
10,16,139.682,128.343,150.909,15.033,0.022951495,,,,,
11,17,149.106,140.475,166.663,16.125,0.024618696,,,Length Conversion,654.99,
12,22,131.003,113.037,162.695,21.095,0.032206599,,,,,
13,17,126.159,104.736,143.365,16.971,0.025910319,,,Mean Length,0.024203482,
14,17,124.608,85.333,141.667,16,0.024427854,,,Median Length,0.024427854,
15,13,120.806,80.016,140.962,12.649,0.019311745,,,Standard Deviation,0.00422607,
16,13,122.564,103.993,129.561,12.806,0.019551444,,,,,
17,18,111.892,98.158,134.702,19.804,0.030235576,,,,,
18,15,114.557,96.638,126.667,14.213,0.021699568,,,,,
19,12,148.775,106.566,255,11.314,0.017273546,,,,,
20,15,113.473,93.962,123.437,14.56,0.022229347,,,,,
21,14,124.945,101.212,143.161,13.038,0.019905647,,,,,
22,17,132.525,114.777,158.141,16.125,0.024618696,,,,,
23,11,113.519,88.865,134.333,10.44,0.015939175,,,,,
24,16,133.965,118.244,145.574,15.62,0.023847692,,,,,
25,16,140.473,123.667,152.087,15.232,0.023255317,,,,,
26,17,148.81,119.075,176.132,16.401,0.025040077,,,,,
27,14,121.656,111.387,141.333,13.342,0.020369777,,,,,
28,14,121.215,109.064,139.888,13.454,0.020540772,,,,,
29,14,107.773,96.499,117.67,13.038,0.019905647,,,,,
30,14,252.699,233.98,255,13.038,0.019905647,,,,,
31,18,124.742,100.017,140.191,17.205,0.026267577,,,,,
32,14,143.041,127.028,158.638,13.892,0.021209484,,,,,
33,11,105.367,57,142.133,10,0.015267409,,,,,
34,15,120.746,110.793,133.667,14.866,0.02269653,,,,,
35,23,104.157,84.407,127.1,22.672,0.034614269,,,,,
36,17,139.793,130.463,155.667,16.492,0.02517901,,,,,
37,22,138.642,131.976,152.146,21.587,0.032957755,,,,,
38,16,146.625,136.333,171.667,15,0.022901113,,,,,
39,20,162.764,117.467,255,19.209,0.029327165,,,,,
40,14,142.731,125.228,154.797,13.601,0.020765203,,,,,
41,14,121.467,115.419,126.822,13.928,0.021264447,,,,,
42,20,150.339,115.75,255,19.105,0.029168384,,,,,
43,17,135.082,112.284,158.297,16.553,0.025272142,,,,,
44,19,137.44,110.631,164.238,18.111,0.027650804,,,,,
45,16,127.981,120.115,135.598,15.033,0.022951495,,,,,
46,18,128.3,110.724,152.442,17.263,0.026356128,,,,,
47,24,138.709,134.171,147.342,23.601,0.036032611,,,,,
48,18,125.264,100.473,159.593,17.464,0.026663002,,,,,
49,14,132.251,109.77,158.344,13.454,0.020540772,,,,,
50,16,126.354,108.333,144.333,15,0.022901113,,,,,
51,17,126.094,110.106,149.667,16.125,0.024618696,,,,,
52,19,120.778,104.747,139.703,18.028,0.027524084,,,,,
53,19,114.545,68.227,157.318,18.028,0.027524084,,,,,
54,18,127.625,108.708,151.624,17.263,0.026356128,,,,,
55,20,158.475,131.812,188.753,19.235,0.029366861,,,,,
56,19,143.516,126.998,175.834,18.439,0.028151575,,,,,
57,18,167.282,136.397,255,17,0.025954595,,,,,
58,17,139.12,115.486,168.095,16.125,0.024618696,,,,,
59,15,129.733,119,138.667,14,0.021374372,,,,,
60,17,132.72,89.578,165.861,16.279,0.024853815,,,,,
61,19,131.023,119.768,148.786,18.619,0.028426388,,,,,
62,20,114.943,98.412,145.107,19.313,0.029485946,,,,,
63,17,157.33,123.713,255,16.279,0.024853815,,,,,
64,15,129.311,111,156.333,14,0.021374372,,,,,
65,14,134.79,131.59,138.399,13.153,0.020081223,,,,,
66,17,124.065,110.722,136.984,16.125,0.024618696,,,,,
67,17,111.77,76.063,132.861,16.492,0.02517901,,,,,
68,21,128.338,118.109,139.241,20.248,0.030913449,,,,,
69,16,124.581,114.263,143.633,15.652,0.023896548,,,,,
70,15,137.606,121.936,146.022,14.422,0.022018657,,,,,
71,17,128.539,97.948,255,16.279,0.024853815,,,,,
72,16,114.288,95.949,124.807,15.264,0.023304173,,,,,
73,14,126.196,104.799,151.196,13.038,0.019905647,,,,,
74,19,115.161,89.125,122.94,18.385,0.028069131,,,,,
75,17,124.989,112,135.971,16.643,0.025409548,,,,,
76,15,125.729,113.56,138,14.866,0.02269653,,,,,
77,21,109.121,83.657,161,20.248,0.030913449,,,,,
