 ,Area,Mean,Min,Max,Length,,# germinated grains,,,# ungerminated grains
1,163,150.743,104.151,176.548,162.384,,104,,,33
2,162,156.355,58.826,188.803,162.502,,,,,
3,230,129.971,60,162.85,229.699,,,,,
4,311,164.774,118.229,188.595,310.88,,,,,
5,174,151.074,81.493,182.333,174.335,,,,,
6,176,144.626,65.438,171.043,175.072,,,,,
7,78,114.665,78.51,155.558,77.996,,,,,
8,442,149.02,83.747,193.809,441.447,,,,,
9,511,141.942,45.314,176.667,511.065,,,,,
10,167,116.158,49.231,178.493,166.541,,,,,
11,332,142.256,66.42,183.811,332.816,,,,,
12,238,127.992,63.91,161.316,237.55,,,,,
13,390,147.391,49.904,182.784,389.284,,,,,
14,57,145.13,72.675,201.832,56.29,,,,,
15,45,120.146,63.076,191.979,44.121,,,,,
16,373,149.372,71.492,172.419,372.542,,,,,
17,92,93.856,32.862,133.356,91.517,,,,,
18,163,103.119,36.353,150.229,164.423,,,,,
19,59,97.642,47.655,143.364,59.226,,,,,
20,187,119.185,66.771,148.807,186.663,,,,,
21,77,81.659,37.982,134.214,78.373,,,,,
22,115,87.938,30.561,169.938,114.237,,,,,
23,396,144.71,89.333,175.273,397.077,,,,,
24,423,131.268,0,193.02,422.334,,,,,
25,196,128.214,41.092,166.809,195.608,,,,,
26,196,128.214,41.092,166.809,195.608,,,,,
27,150,142.897,82.363,177.086,150.179,,,,,
28,97,123.423,76.342,154.089,96.415,,,,,
29,90,124.511,69.125,190.124,90.379,,,,,
30,335,132.731,27.35,185.91,335.162,,,,,
31,352,111.576,48.521,167.818,351.444,,,,,
32,160,139.857,96,169.562,159.674,,,,,
33,127,75.123,24.472,123.178,127.656,,,,,
34,114,106.36,39.107,157.815,113.424,,,,,
35,148,101.161,41.552,147.085,148.007,,,,,
36,226,137.229,45.761,168.33,225.989,,,,,
37,309,129.537,0,154.459,308.617,,,,,
38,72,78.172,29.737,127.812,71.968,,,,,
39,83,110.336,75.667,146.667,82.479,,,,,
40,426,146.821,41.68,187.154,425.448,,,,,
41,520,136.478,61.032,170.72,520.92,,,,,
42,461,157.857,95.03,184.804,460.246,,,,,
43,178,93.764,31.247,138.348,178.161,,,,,
44,288,132.585,54.743,157.595,288.031,,,,,
45,62,117.291,84.667,138.665,61.308,,,,,
46,345,138.048,44.607,170.48,344.109,,,,,
47,40,108.121,87.424,120.908,39.825,,,,,
48,83,118.339,84.147,154.84,82.405,,,,,
49,88,113.21,64.49,132.832,87.902,,,,,
50,453,126.063,48.263,163.263,452.874,,,,,
51,140,142.15,69.635,160.607,139.698,,,,,
52,240,131.227,45.601,172.669,239.583,,,,,
53,81,105.661,46.333,172.2,81.352,,,,,
54,770,124.49,35.333,169.252,770.053,,,,,
55,306,124.974,41.852,157.443,306.107,,,,,
56,55,95.28,42.648,143.39,55.247,,,,,
57,64,100.488,47.888,178.344,63.386,,,,,
58,344,125.269,27.413,164.749,343.908,,,,,
59,447,125.515,25.876,170.624,446.904,,,,,
60,302,119.733,14.454,146.276,301.23,,,,,
61,362,135.973,60.008,174.621,362.095,,,,,
62,162,85.495,36.581,120.371,161.989,,,,,
63,91,84.151,26.403,145.995,90.762,,,,,
64,285,135.293,61.386,158.114,284.424,,,,,
65,240,116.28,15.285,163.314,239.821,,,,,
66,174,126.588,57.336,167.135,173.767,,,,,
67,98,124.057,77.441,156.059,97.259,,,,,
68,118,117.647,56.32,180.977,117.815,,,,,
69,151,70.393,27,140.883,150.747,,,,,
70,158,131.363,79.117,170.444,157.706,,,,,
71,427,139.443,68.859,182.208,426.483,,,,,
72,122,124.663,63.863,164.58,122.508,,,,,
73,227,132.278,76,182.234,226.93,,,,,
74,337,139.207,89.669,182.674,336.558,,,,,
75,102,113.647,31.938,173.339,101.831,,,,,
76,311,110.396,22.747,167.818,311.614,,,,,
77,424,175.337,118.005,200.945,424.791,,,,,
78,217,131.749,51.987,160.849,217.022,,,,,
79,61,69.29,36.703,105.913,60.208,,,,,
80,114,110.613,61.926,164.35,114.335,,,,,
81,79,140.104,101.906,173.537,78.181,,,,,
82,49,80.209,43.088,113.667,49.434,,,,,
83,96,116.633,69.854,148.955,95.866,,,,,
84,183,158.497,102.027,193.071,183.631,,,,,
85,71,93.673,49.932,133.057,71.222,,,,,
86,256,144.38,24.948,168.426,255.674,,,,,
87,61,94.417,61.083,116.347,60.749,,,,,
88,358,138.921,61.187,180.785,357.977,,,,,
89,298,128.22,70.726,160.318,297.858,,,,,
90,408,134.522,72.6,163.266,407.616,,,,,
91,55,110.588,66,154,55,,,,,
92,73,115.637,61.401,149.695,72.139,,,,,
93,107,104.556,52.754,141.404,107.451,,,,,
94,111,90.531,32,155.335,110.773,,,,,
95,153,100.158,38.406,154.481,153.218,,,,,
96,75,67.416,24.992,108.3,74.407,,,,,
97,220,125.573,59.201,158.541,219.451,,,,,
98,61,94.968,56.932,152.204,61.404,,,,,
99,102,131.913,85.5,176.995,103.447,,,,,
100,40,99.29,39.12,144.892,40.004,,,,,
101,83,116.487,45.161,173.905,83.368,,,,,
102,91,93.292,53.845,142.716,91.669,,,,,
103,82,111.755,45.706,157.425,81.291,,,,,
104,66,105.335,54.924,152.917,67.177,,,,,
