 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
1,21,107.661,54.278,134.881,20.391,0.030208889,,,Picture,No Tubes,Tubes
2,12,102.5,68.984,132,11.402,0.016891852,,,A,,
3,13,99.092,64.096,122.626,12.083,0.017900741,,,B,,
4,13,109.564,86.683,126.887,12.166,0.018023704,,,C,,
5,16,92.972,64,124.573,15,0.022222222,,,D,,
6,14,86.341,64.634,121,13.038,0.019315556,,,Total,1274,71
7,16,91.684,48.049,111.716,15.033,0.022271111,,,,,
8,18,84.089,41.881,124.449,17.263,0.025574815,,,Length Conversion,675,
9,9,94.157,70.07,112.847,8.944,0.01325037,,,,,
10,15,81.698,45.923,120.489,14.56,0.02157037,,,Mean Length,0.021494128,
11,13,75.965,41.385,103,12.042,0.01784,,,Median Length,0.02014963,
12,15,104.244,74.667,119,14,0.020740741,,,Standard Deviation,0.006019263,
13,14,97.726,70.316,108.637,13.416,0.019875556,,,,,
14,12,93.553,54.526,120.333,11.705,0.017340741,,,,,
15,19,84.516,22.292,129,18.146,0.026882963,,,,,
16,14,96.589,76.337,118.094,13.416,0.019875556,,,,,
17,14,81.997,45.839,115.667,13.892,0.020580741,,,,,
18,13,78.103,44.667,129.333,12,0.017777778,,,,,
19,14,79.239,53.841,103.333,13.416,0.019875556,,,,,
20,10,94.128,76.593,113.061,9.849,0.014591111,,,,,
21,12,81.556,55.333,115,11,0.016296296,,,,,
22,9,104.886,56.513,128.28,8.544,0.012657778,,,,,
23,29,110.358,87.21,133.858,28.664,0.042465185,,,,,
24,13,117.641,98.959,145.667,12.728,0.018856296,,,,,
25,22,93.348,64.243,136.333,21.574,0.031961481,,,,,
26,16,85.298,42.766,109.846,15.232,0.022565926,,,,,
27,16,111.198,97.242,135.483,15.133,0.022419259,,,,,
28,17,107.385,71.898,140,16.031,0.02374963,,,,,
29,13,83.116,32.545,129.734,12.53,0.018562963,,,,,
30,12,85.962,47.815,123,11.402,0.016891852,,,,,
31,13,100.587,61.619,124.386,12.042,0.01784,,,,,
32,20,82.345,41.784,124.117,19.121,0.028327407,,,,,
33,16,100.171,81.318,118.308,15.426,0.022853333,,,,,
34,15,99.735,81.606,115,14.866,0.022023704,,,,,
35,16,100.462,63.705,136,15.264,0.022613333,,,,,
36,8,94.595,70.506,119.333,7.28,0.010785185,,,,,
37,11,100.559,83.82,124.127,10.44,0.015466667,,,,,
38,18,112.807,70.897,154.784,17.088,0.025315556,,,,,
39,13,99.416,56.509,129.592,12.083,0.017900741,,,,,
40,16,80.317,44.892,110.954,15.817,0.023432593,,,,,
41,19,78.035,49.776,114.56,18.358,0.027197037,,,,,
42,15,85.662,35.937,118.427,14.765,0.021874074,,,,,
43,26,105.248,79.283,138,25.898,0.038367407,,,,,
44,10,72.208,46.974,99.333,9.22,0.013659259,,,,,
45,18,87.144,59.731,116.408,17.117,0.025358519,,,,,
46,19,101.497,62.893,123.164,18.601,0.027557037,,,,,
47,13,67.717,57.545,94,12.649,0.018739259,,,,,
48,21,77.343,51.394,105.333,20.616,0.030542222,,,,,
49,9,88.112,66.846,118,8.544,0.012657778,,,,,
50,13,102.106,82.584,120.179,12.649,0.018739259,,,,,
51,19,79.085,58.217,131.667,18.559,0.027494815,,,,,
52,11,94.046,69.306,111.337,10.817,0.016025185,,,,,
53,11,107.484,80.4,133.577,10.817,0.016025185,,,,,
54,21,73.133,42.242,106.667,20.81,0.03082963,,,,,
55,22,78.806,53.775,113.04,22.09,0.032725926,,,,,
56,21,63.711,36.27,118.77,20.93,0.031007407,,,,,
57,17,87.382,61.303,118.333,16.755,0.024822222,,,,,
58,16,99.243,72.333,125.667,15,0.022222222,,,,,
59,14,98.762,72.333,132.667,13,0.019259259,,,,,
60,13,91.992,69.582,114.414,12.728,0.018856296,,,,,
61,11,100.265,82.5,124,10.63,0.015748148,,,,,
62,16,105.299,73.921,136,15.62,0.023140741,,,,,
63,17,105.726,81.272,132.667,16.971,0.025142222,,,,,
64,14,79.748,61.358,102.233,13.601,0.02014963,,,,,
65,12,86.881,64.447,106.319,11.402,0.016891852,,,,,
66,13,93.992,36.935,126.476,12.728,0.018856296,,,,,
67,10,100.47,69.628,124.109,9.22,0.013659259,,,,,
68,15,72.869,48.647,117.333,14.318,0.021211852,,,,,
69,13,90.403,76.76,118.667,12.649,0.018739259,,,,,
