 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,20,92.66,73.599,122.667,19.209,0.027487765,,,,
2,86,120.483,63.638,148.198,85.665,0.122585215,,,,
3,48,167.678,83.325,255,47.143,0.067460863,,Picture,No Tubes,Tubes
4,11,82.66,65.39,100.371,10.63,0.015211356,,A,33,12
5,37,95.802,70.462,107.687,37.17,0.053189663,,B,,
6,16,100.841,52.611,139.208,15.62,0.022351965,,C,,
7,66,105.552,44.767,146.271,65.676,0.093981283,,D,,
8,31,105.064,46.944,123.333,31.318,0.044815546,,Total,33,133
9,15,109.893,74.874,147.389,14.56,0.020835122,,,,
10,22,100.53,76.431,122.433,21.662,0.030997968,,Length Conversion,698.82,
11,17,92.036,62.532,114.333,16.252,0.023256346,,,,
12,76,133.44,57.491,255,75.272,0.107713002,,Mean Length,0.051611359,
13,15,94.222,56.894,129.667,14.765,0.021128474,,Median Length,0.033985862,
14,12,92.489,54.386,125.698,11.402,0.016316076,,Standard Deviation,0.051210075,
15,54,111.316,65.709,139.069,53.496,0.076551902,,,,
16,37,89.504,54.187,119.141,36.341,0.052003377,,,,
17,20,111.271,71.953,140.218,19.22,0.027503506,,,,
18,18,80.699,47.38,110.26,17.205,0.024620074,,,,
19,10,90.999,52.481,118.905,9.849,0.014093758,,,,
20,12,82.958,56.877,106.695,11.402,0.016316076,,,,
21,12,93.028,62.333,129.333,11,0.01574082,,,,
22,70,129.566,96.263,150.841,69.654,0.099673736,,,,
23,77,114.382,52.544,150.615,76.905,0.110049798,,,,
24,61,95.254,35.409,147.4,60.862,0.087092527,,,,
25,88,124.986,43.5,146.947,87.065,0.124588592,,,,
26,18,98.924,81.106,120.98,17.088,0.024452649,,,,
27,60,109.923,61.153,136.475,59.231,0.084758593,,,,
28,66,119.786,44.214,142.005,65.292,0.093431785,,,,
29,41,126.568,94.168,142.891,40.814,0.058404167,,,,
30,96,104.806,64.011,123.902,95.532,0.136704731,,,,
31,67,111.339,75.167,125.006,66.708,0.095458058,,,,
32,15,96.116,55.894,119.46,14.422,0.020637646,,,,
33,85,128.92,62.694,159.816,84.802,0.121350276,,,,
34,11,98.478,72.311,117.903,10.63,0.015211356,,,,
35,50,119.495,45.437,144.358,49.466,0.070785038,,,,
36,11,83.915,58.903,103.319,10.817,0.01547895,,,,
37,11,84.968,43.627,118.973,10,0.014309837,,,,
38,22,95.521,71.547,130.333,21.401,0.030624481,,,,
39,45,114.628,44.717,139.3,44.667,0.063917747,,,,
40,59,112.819,92.279,129.817,58.8,0.084141839,,,,
41,139,135.91,53.939,165.405,138.885,0.198742165,,,,
42,271,140.281,77.784,181.442,270.08,0.386480066,,,,
43,29,76.175,45.807,132.21,28.088,0.040193469,,,,
44,10,72.782,42.844,109.667,9.899,0.014165307,,,,
45,34,92.051,40.146,120.405,33.655,0.048159755,,,,
46,51,116.506,49.671,155.743,50.56,0.072350534,,,,
47,29,127.406,41,151.712,28.171,0.040312241,,,,
48,16,99.801,50.613,124.323,15.133,0.021655076,,,,
49,18,88.821,46.462,114.968,17.205,0.024620074,,,,
50,27,77.36,42.4,120.333,26.368,0.037732177,,,,
51,46,107.448,45.043,138.861,45.137,0.064590309,,,,
52,62,84.055,34.309,125.831,61.122,0.087464583,,,,
53,60,133.518,81.273,255,59.605,0.085293781,,,,
54,9,88.861,58.531,117.918,8.246,0.011799891,,,,
55,11,90.402,50.903,119.177,10.77,0.015411694,,,,
56,24,97.571,71.259,120.493,23.342,0.033402021,,,,
57,11,77.102,51.113,109.333,10.63,0.015211356,,,,
58,12,110.728,54.888,190.691,11.662,0.016688131,,,,
59,24,84.592,62.499,109.667,23.87,0.03415758,,,,
60,18,79.507,40.69,104.667,17.541,0.025100884,,,,
61,12,93.222,54.805,122.109,11.045,0.015805215,,,,
62,32,64.562,41.838,255,31.728,0.04540225,,,,
63,29,113.155,76.002,255,28.071,0.040169142,,,,
64,145,121.43,77.078,162.965,144.848,0.207275121,,,,
65,20,84.365,57.61,124,19.698,0.028187516,,,,
66,14,84.21,64.672,105.333,13.416,0.019198077,,,,
67,26,119.252,57.667,135.793,25.66,0.036719041,,,,
68,27,80.417,53.503,111.936,26.077,0.037315761,,,,
69,50,109.884,66,132.976,50.059,0.071633611,,,,
70,21,94.314,56.616,143.155,20.685,0.029599897,,,,
71,19,103.962,93.446,121.17,18.036,0.025809221,,,,
72,12,57.657,47.505,76.158,11.402,0.016316076,,,,
73,17,59.619,52.379,77.667,16.303,0.023329327,,,,
74,85,124.893,68.403,143.144,84.539,0.120973927,,,,
75,26,111.499,91.1,130.246,25.217,0.036085115,,,,
76,14,99.902,56.651,129.422,13,0.018602788,,,,
77,18,92.815,68.797,130.333,17.088,0.024452649,,,,
78,13,104.489,82.747,128.437,12.207,0.017468018,,,,
79,19,101.896,62.732,136.385,18.028,0.025797773,,,,
80,22,93.025,48.354,110.988,21.045,0.030115051,,,,
81,58,105.898,72.923,123.285,57.063,0.08165622,,,,
82,12,86.288,65,122.422,11.18,0.015998397,,,,
83,12,92.492,83,106.263,11.045,0.015805215,,,,
84,34,135.351,77.878,152.854,33.155,0.047444263,,,,
85,35,102.199,69.639,135.88,34.863,0.049888383,,,,
86,28,92.745,52.552,119.969,27.278,0.039034372,,,,
87,11,78.528,46.333,116,10,0.014309837,,,,
88,56,111.26,57.62,255,55.321,0.079163447,,,,
89,34,52.219,39.203,69.743,33.955,0.04858905,,,,
90,59,102.775,37.996,161.488,58.99,0.084413726,,,,
91,34,73.638,45.91,100.91,33.988,0.048636273,,,,
92,95,129.739,49.333,157.372,95.19,0.136215334,,,,
93,18,99.667,56.88,125.744,17.263,0.024703071,,,,
94,174,149.715,44.333,171.522,173.735,0.248611946,,,,
95,33,96.99,64.935,126.773,32.411,0.046379611,,,,
96,52,89.433,54.875,126.784,51.051,0.073053147,,,,
97,33,98.055,53.245,139.578,32.853,0.047012106,,,,
98,46,103.742,46.418,255,46.248,0.066180132,,,,
99,26,89.437,60.339,115.312,25.704,0.036782004,,,,
100,19,71.662,49.672,93.853,18.106,0.02590939,,,,
101,23,69.211,37.731,91.31,22.91,0.032783836,,,,
102,17,76.145,33.424,120,16.702,0.023900289,,,,
103,16,84.337,57.987,103.674,15.882,0.022726882,,,,
104,16,86.888,49.309,116.929,15.252,0.021825363,,,,
105,23,90.613,77.785,111.333,22.363,0.032001088,,,,
106,14,98.377,80.333,105.063,13.363,0.019122235,,,,
107,16,61.499,49.347,71.096,15.144,0.021670817,,,,
108,15,75.802,58.031,94.421,14.896,0.021315933,,,,
109,18,84.75,63.841,102.388,18.031,0.025802066,,,,
110,21,87.066,67.319,113.026,20.615,0.029499728,,,,
111,39,105.879,71.668,255,38.938,0.055719642,,,,
112,30,66.971,48.763,98.559,29.273,0.041889185,,,,
113,25,73.273,59.55,91.963,24.523,0.035092012,,,,
114,31,60.002,32.985,98.226,31.003,0.044364786,,,,
115,28,71.233,49.955,90.231,27.118,0.038805415,,,,
116,23,78.705,40.416,106.173,22.737,0.032536275,,,,
117,16,73.862,53.07,95.698,15.285,0.021872585,,,,
118,18,82.438,57.315,112.333,17.502,0.025045076,,,,
119,16,92.263,65.498,118.418,15.862,0.022698263,,,,
120,24,84.265,62.151,112.601,23.75,0.033985862,,,,
121,17,75.072,37.044,109.337,16.431,0.023512492,,,,
