 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,18,82.128,65.109,95.333,17.692,0.026163896,,,,
2,9,89.159,64.546,116.333,8.246,0.012194635,,Picture,No Tubes,Tubes
3,25,106.12,76.88,122.622,24.706,0.036536582,,A,206,1
4,19,94.521,48.415,134.728,18.742,0.027716693,,B,,
5,24,100.279,60.306,132.173,23.087,0.034142316,,C,,
6,27,126.413,72.933,162.905,26.067,0.038549303,,D,,
7,15,104.318,72.695,139.002,14.318,0.02117424,,Total,206,154
8,28,119.985,76.077,151.418,27.673,0.040924343,,,,
9,13,86.437,64.369,102.804,12.042,0.017808367,,Length Conversion,676.199,
10,18,103.185,76.897,134.401,17.692,0.026163896,,,,
11,14,73.815,57.6,88.333,13,0.01922511,,Mean Length,0.031150245,
12,15,107.189,88.199,136,14.036,0.020757203,,Median Length,0.024074274,
13,12,80.636,64.329,96,11.402,0.0168619,,Standard Deviation,0.018336551,
14,13,78.306,54.794,107.715,12.042,0.017808367,,,,
15,23,95.024,79.333,115.616,22.933,0.033914572,,,,
16,20,88.952,66.871,108.445,19.235,0.028445768,,,,
17,25,87.829,66.684,115.705,24.499,0.036230459,,,,
18,13,74.264,42.771,122.48,12.166,0.017991745,,,,
19,40,112.985,58.33,144.614,39.415,0.058289054,,,,
20,32,123.634,75.18,150.595,31.557,0.046668215,,,,
21,54,131.514,71.837,149.326,53.281,0.078794852,,,,
22,18,109.04,54.721,142.328,17.493,0.025869603,,,,
23,12,91.778,77.333,106.667,11,0.016267401,,,,
24,11,94.468,83.808,103.464,10.198,0.015081359,,,,
25,11,105.014,84.251,130.624,10.296,0.015226287,,,,
26,37,89.164,77.153,103.667,36.663,0.054219246,,,,
27,22,77.008,63.534,104.333,21.955,0.032468253,,,,
28,13,101.542,91.212,115.833,12.649,0.018706032,,,,
29,14,88.677,78.334,98.996,13.038,0.019281306,,,,
30,10,72.745,47.358,113.3,9.055,0.013391028,,,,
31,20,85.049,72.25,116,19.105,0.028253517,,,,
32,13,88.985,68.076,120.259,12.083,0.017869,,,,
33,36,128.183,66.649,159.453,35.754,0.052874967,,,,
34,16,116.649,86,162.693,15.817,0.023391043,,,,
35,9,86.535,57.803,111.588,8.246,0.012194635,,,,
36,11,86.819,80,91.773,10,0.014788546,,,,
37,9,79.219,66.667,104.196,8.485,0.012548081,,,,
38,9,91.524,64.966,115.483,8.485,0.012548081,,,,
39,20,113.339,73.275,150.059,19.799,0.029279842,,,,
40,40,126.672,89.451,147.852,39.768,0.05881109,,,,
41,9,92.894,49.839,120.347,8.944,0.013226876,,,,
42,19,101.211,96.667,116,18,0.026619383,,,,
43,20,85.613,55.613,113.387,19.971,0.029534205,,,,
44,22,107.956,81.471,118.352,21.633,0.031992062,,,,
45,13,82.697,47.448,113.643,12.649,0.018706032,,,,
