 ,Area,Mean,Min,Max,Length,
1,14,124.266,113.496,134.835,13.892,
2,10,120.365,107.803,137.333,9.22,
3,18,138.226,122.979,164.033,17.117,
4,10,121.015,116.667,123.309,9.22,
5,17,128.314,115.926,140.092,16.125,
6,19,123.599,112.836,130.594,18.682,
7,13,133.369,127.168,140.727,12.53,
8,14,127.963,112.957,142.163,13.601,
9,16,129.298,116.628,139.667,15.62,
10,9,131.043,123.543,139.39,8.062,
11,16,134.504,128.304,144.612,15.62,
12,13,136.979,126.825,148.244,12.649,
13,21,131.153,121.404,140.061,20.616,
14,18,146.39,134.457,155.5,17.117,
15,15,129.886,117.861,147.333,14.422,
16,14,141.475,125.323,154.317,13.153,
17,13,131.274,121.314,139.496,12.166,
18,24,123.197,108.531,140.074,23.854,
19,15,132.805,117.327,143.709,14.213,
20,20,115.834,101.741,128.566,19.209,
21,18,110.041,98.118,124.667,17.493,
22,15,129.166,121.322,135.788,14.866,
23,21,131.016,116.667,153.333,20,
24,17,153.325,140.71,162.606,16.125,
25,18,152.257,148.046,156.672,17.464,
26,17,120.608,107,133.333,16,
27,12,118.733,110.884,125.667,11.18,
28,14,154.865,146.631,163.807,13.892,
29,17,126.369,116.798,139.157,16.492,
30,21,131.999,118.737,154,20.809,
31,15,128.864,114.653,146.829,14.036,
32,23,129.038,112.288,156,22.361,
33,16,123.298,94.755,139.454,15.033,
34,19,161.49,141.862,182,18.439,
35,16,131.386,119.827,151,15,
36,12,117.493,93.363,128.819,11.402,
37,15,134.092,119.709,144.797,14.318,
38,15,121.253,110.246,149.667,14.422,
39,16,121.772,106.697,131.351,15.811,
40,13,123.177,112.064,132,12.166,
41,661,104.346,27.443,130.959,660.242,ruler
