 ,Area,Mean,Min,Max,Length
1,697,175.31,54.725,203.882,696.847
2,496,187.427,144.035,211.893,495.251
3,607,158.608,74.466,183.953,606.578
4,635,179.398,112.413,211.933,634.383
5,571,175.466,107.669,200.128,570.616
6,455,192.655,94.047,225.32,454.474
7,459,201.905,134.291,217.059,458.597
8,467,158.578,109.042,176.412,466.212
9,720,183.031,152.67,211.675,719.556
10,868,170.618,126.411,203.754,867.077
11,475,162.798,88.318,184.261,475.013
12,546,168.129,87,199.915,545.353
13,434,195.188,163.789,225.131,433.972
14,635,182.467,89.603,207.017,634.585
15,439,191.076,139.439,206.71,438.881
16,549,170.918,48.218,200.33,549.115
17,466,153.65,73.763,172.908,465.777
18,601,178.263,116.726,199.055,600.285
19,467,164.943,84.611,188.535,466.221
20,385,160.014,122.432,185.734,384.587
21,527,184.449,80.055,202.911,526.242
22,503,170.829,76.916,203.707,502.871
23,410,177.633,140,197.97,409.838
24,470,185.783,139.667,216.995,469.566
25,610,176.742,63.901,214.075,609.389
26,421,171.772,104.738,197.906,420.51
27,451,161.173,85.667,190.943,450.763
28,545,159.256,115.333,173.198,544.256
29,392,144.006,117.363,171.333,392.31
30,281,158.425,124,175.543,280.525
31,511,174.495,112.044,200.162,510.816
32,559,171.896,134,197.31,558.496
33,615,171.656,112.072,195.698,614.342
34,405,165.72,131.941,179.16,404.965
35,478,169.914,86.852,201.346,477.319
36,587,155.618,97.23,182.112,586.557
37,474,157.918,94.618,184.764,473.613
38,352,163.35,91.083,191.152,351.311
39,401,181.886,123.258,202.012,400.42
40,516,152.657,112.44,168.333,515.364
ruler,667,160.011,67.322,196.476,666.528
