 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,103,136.854,65.709,155.009,102.18,0.149385965,,,,
2,49,127.99,52.737,163.058,48.374,0.070722222,,Picture,No Tubes,Tubes
3,227,135.044,69.617,170.382,226.321,0.330878655,,A,35,38
4,54,121.277,87.048,154.709,53.685,0.078486842,,B,,
5,266,146.179,85.277,175.966,265.809,0.388609649,,C,,
6,13,92.404,65.016,113.333,12.649,0.01849269,,D,,
7,62,138.945,66.885,171.517,61.033,0.089229532,,Total,35,199
8,192,137.049,85.194,158.473,192.807,0.281881579,,,,
9,43,137.008,70.251,255,42.788,0.062555556,,Length Conversion,684,
10,56,145.042,85.275,171.496,55.731,0.08147807,,,,
11,48,123.883,60.449,223.929,47.752,0.069812865,,Mean Length,0.144906142,
12,210,148.261,82.735,169.219,209.637,0.306486842,,Median Length,0.10644883,
13,30,75.307,62.199,96.395,29.155,0.042624269,,Standard Deviation,0.140096208,
14,100,118.845,55.153,159.646,99.442,0.145383041,,,,
15,34,114.198,45.527,145.111,33.541,0.04903655,,,,
16,219,119.808,60.25,162.919,218.581,0.319562865,,,,
17,113,102.481,35.787,137.863,112.366,0.164277778,,,,
18,173,111.096,35.317,138.703,173.02,0.252953216,,,,
19,86,115.978,55.904,255,87.19,0.12747076,,,,
20,14,48.301,27.845,70.313,13.038,0.019061404,,,,
21,51,127.356,68.498,150.282,50.01,0.073114035,,,,
22,16,88.061,47.398,113.789,15.652,0.022883041,,,,
23,13,105.364,85.487,138,12.042,0.017605263,,,,
24,22,108.928,63.579,141.88,21.024,0.030736842,,,,
25,167,111.455,62.499,138.867,167.067,0.24425,,,,
26,609,136.903,66.314,255,608.234,0.889230994,,,,
27,83,118.299,52.751,166.124,82.724,0.12094152,,,,
28,113,105.611,35.625,153.198,112.095,0.163881579,,,,
29,113,128.265,42.18,255,112.958,0.165143275,,,,
30,93,93.298,27.523,137.905,92.328,0.134982456,,,,
31,177,113.082,65.199,255,176.532,0.258087719,,,,
32,119,142.128,95.869,171.016,119.129,0.174165205,,,,
33,128,125.92,65.035,255,127.127,0.185858187,,,,
34,119,103.085,67.67,150.155,118.434,0.173149123,,,,
35,57,104.755,66.696,139.912,57.048,0.083403509,,,,
36,195,120.905,37.926,255,194.643,0.284565789,,,,
37,155,132.325,48.571,255,154.95,0.226535088,,,,
38,254,133.929,71.037,255,253.212,0.370192982,,,,
39,217,133.311,54.41,255,216.267,0.316179825,,,,
40,105,126.64,47.441,255,104.627,0.15296345,,,,
41,79,135.698,84.97,178.549,78.434,0.114669591,,,,
42,198,120.947,54.913,255,197.856,0.289263158,,,,
43,102,129.796,85.048,155.043,101.619,0.148565789,,,,
44,324,132.612,67.531,255,323.404,0.472812865,,,,
45,230,155.153,113,255,229.43,0.335423977,,,,
46,123,158.343,129.544,182.9,122.143,0.178571637,,,,
47,21,117.506,58.177,171.977,20.591,0.030103801,,,,
48,11,103.512,58.976,139.129,10.63,0.015540936,,,,
49,31,119.487,63.164,156.591,30.493,0.044580409,,,,
50,73,115.592,55.667,167.427,72.405,0.105855263,,,,
51,52,137.797,66.812,171.229,52.132,0.076216374,,,,
52,12,93.944,50.667,170,11,0.016081871,,,,
53,37,151.081,95.917,175.776,36.995,0.054086257,,,,
54,18,103.044,67.776,132.037,17.117,0.025024854,,,,
55,10,79.61,52.391,106.222,9.22,0.013479532,,,,
56,13,95.195,74.942,107.993,12.207,0.017846491,,,,
57,111,110.39,87.752,137.427,110.668,0.161795322,,,,
58,352,139.559,89.067,255,351.715,0.514203216,,,,
59,13,96.791,85.283,103.829,12.042,0.017605263,,,,
60,12,85.144,70.334,119.667,11.045,0.016147661,,,,
61,32,77.215,58.172,123.333,32.404,0.047374269,,,,
62,34,88.538,46.766,132.608,33.743,0.049331871,,,,
63,49,123.877,92.614,147.517,48.773,0.071305556,,,,
64,65,126.454,50.313,167.04,64.7,0.094590643,,,,
65,44,132.462,64.573,165.881,43.989,0.064311404,,,,
66,57,113.686,50.406,153.744,56.334,0.082359649,,,,
67,76,143.62,76.202,255,75.904,0.11097076,,,,
68,73,106.596,51.287,163.4,72.811,0.10644883,,,,
69,79,145.61,67.966,177.622,78.829,0.115247076,,,,
70,30,102.579,71.886,136.274,29.722,0.043453216,,,,
71,23,66.522,46.605,101.034,22.589,0.033024854,,,,
72,15,91.462,67.801,109.327,14.56,0.02128655,,,,
73,140,149.609,94.62,169.538,139.621,0.204124269,,,,
74,75,121.969,76.293,255,74.982,0.109622807,,,,
75,93,95.391,52.82,131.041,92.612,0.135397661,,,,
76,19,95.422,66.045,134.063,18.112,0.026479532,,,,
77,10,83.152,56.397,119.164,9.055,0.013238304,,,,
78,98,121.662,89.838,146.072,97.817,0.14300731,,,,
79,144,116.956,76.794,150.896,143.696,0.210081871,,,,
80,150,117.908,61.701,161.254,149.535,0.218618421,,,,
81,101,161.346,62.667,255,100.765,0.147317251,,,,
82,118,142.327,91.667,168.886,118.66,0.173479532,,,,
83,14,108.13,55.675,143.359,13,0.019005848,,,,
84,66,107.947,56.936,144.015,65.898,0.096342105,,,,
85,138,129.159,62.213,147.468,138.035,0.201805556,,,,
86,47,122.94,59.828,162.231,46.116,0.067421053,,,,
87,49,93.35,64.833,118.083,48.939,0.071548246,,,,
88,122,100.857,29.364,138.663,121.45,0.17755848,,,,
89,103,103.325,57.464,145.098,102.595,0.14999269,,,,
90,43,108.524,42.88,143.535,42.702,0.062429825,,,,
91,43,86.781,47.534,122.331,42.798,0.062570175,,,,
92,14,71.159,37.554,95.827,13.416,0.019614035,,,,
93,20,83.665,56.165,99.012,19.026,0.027815789,,,,
94,78,83.643,29.423,126.814,77.53,0.113347953,,,,
95,113,116.523,79.659,149.892,112.626,0.164657895,,,,
96,110,83.495,21.985,255,109.199,0.159647661,,,,
97,83,98.946,35.175,145.244,83.226,0.121675439,,,,
98,103,123.537,81.208,146.968,102.901,0.150440058,,,,
99,27,120.45,45.908,166.172,26.019,0.038039474,,,,
100,136,117.47,72.731,167.294,135.732,0.198438596,,,,
101,188,118.732,59.491,175.783,188.173,0.275106725,,,,
102,253,139.199,56.694,206.362,252.667,0.369396199,,,,
103,17,122.543,91.995,156.752,16.125,0.023574561,,,,
104,30,103.219,53.438,150.083,29.855,0.043647661,,,,
105,13,86.121,40.384,129.486,12.87,0.018815789,,,,
106,102,109.312,44.333,165.958,101.951,0.14905117,,,,
107,91,111.841,64.75,152.104,90.372,0.132122807,,,,
108,36,90.981,63.2,132.304,36.254,0.053002924,,,,
109,38,94.887,60.694,168.26,37.158,0.054324561,,,,
110,239,119.17,63.098,255,238.647,0.348899123,,,,
111,105,111.033,41.566,165.154,104.505,0.152785088,,,,
112,7,67.811,35.911,121,6.403,0.009361111,,,,
113,83,89.405,42.667,139.28,82.537,0.120668129,,,,
114,15,84.277,34.523,123.326,14.318,0.020932749,,,,
115,6,87.942,55.672,110.667,5.657,0.008270468,,,,
116,10,73.277,37.088,116.333,9.22,0.013479532,,,,
117,169,113.3,72.647,154.244,168.801,0.246785088,,,,
118,163,136.758,57.735,174.87,162.605,0.237726608,,,,
119,52,129.481,59.829,171.139,51.346,0.075067251,,,,
120,28,86.346,51.994,115.932,27.86,0.040730994,,,,
121,112,123.914,80.812,255,111.54,0.163070175,,,,
122,110,135.26,24.62,255,111.042,0.162342105,,,,
123,65,133.08,78.555,255,64.309,0.094019006,,,,
124,40,120.305,81.333,255,39.053,0.057095029,,,,
