 ,Area,Mean,Min,Max,Length,Length (mm),,,
30,1429,179.225,79,218.478,1430.769,2.085976215,,Conversion,685.899
2,1116,168.696,19.205,195.441,1116.138,1.627262906,,,
9,1028,175.17,132.132,206.046,1027.374,1.497850267,,,
6,963,156.98,51.732,191.19,963.481,1.404698068,,,
36,924,152.022,39.85,195.067,923.887,1.346972368,,Column1,
20,903,175.39,95.175,193.205,902.994,1.316511615,,,
5,900,167.573,119.688,186.87,900.625,1.313057753,,Mean,1.284657581
24,862,160.178,80.739,190.927,861.354,1.255802968,,Standard Error,0.053508158
8,857,175.954,99.025,204.494,858.186,1.251184212,,Median,1.233388589
18,856,172.734,121.65,199.273,856.363,1.248526387,,Mode,#N/A
7,834,169.638,104.391,197.529,835.597,1.218250792,,Standard Deviation,0.239295758
23,835,171.261,86.829,199.516,834.816,1.21711214,,Sample Variance,0.05726246
19,803,149.992,67.459,183.888,802.304,1.169711576,,Kurtosis,6.118970112
14,799,148.263,31.418,173.538,798.348,1.163943963,,Skewness,2.206153418
39,795,164.344,88.121,207.808,794.657,1.158562704,,Range,1.040930224
38,774,138.161,49.539,173.569,773.426,1.127609167,,Minimum,1.045045991
35,760,148.907,39.123,181.275,759.573,1.107412316,,Maximum,2.085976215
33,743,158.667,93.966,196.607,742.308,1.082240971,,Sum,25.69315162
27,724,141.595,43.624,173.392,723.911,1.055419238,,Count,20
32,715,144.316,80.101,187.903,716.796,1.045045991,,,0
4,714,147.083,63.613,178.483,713.62,1.040415571,,,
34,714,141.44,34.089,182.333,713.484,1.040217291,,,
37,704,157.817,95.872,189.516,703.29,1.025355045,,,
26,696,164.811,65.513,187.547,695.667,1.014241164,,,
40,683,152.994,42.046,187.501,682.695,0.995328758,,,
29,679,164.936,66.475,201.242,678.997,0.989937294,,,
21,676,170.483,68.335,189.491,675.934,0.985471622,,,
28,673,156.803,87.467,182.075,673.039,0.981250884,,,
13,650,155.214,43.424,176.191,649.466,0.94688285,,,
3,646,151.434,60.251,183.82,646.563,0.942650449,,,
31,641,152.83,68.91,182.447,640.955,0.934474318,,,
22,632,166.461,86.284,201.285,631.201,0.920253565,,,
12,630,149.194,76.43,197.79,629.775,0.918174542,,,
11,628,151.978,83.442,190.561,627.113,0.914293504,,,
1,622,153.848,71.703,195.287,622.365,0.907371202,,,
25,606,134.71,48.5,171.04,605.688,0.883057126,,,
17,601,175.947,140.035,199.973,601.011,0.876238338,,,
10,600,178.603,80.333,216.467,599.897,0.874614192,,,
16,580,158.174,62.678,185.289,580.03,0.845649287,,,
15,575,153.002,57.072,185.32,574.859,0.838110276,,,
