 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,252,151.576,87.4,181.435,251.654,0.373948681,,Picture,No Tubes,Tubes
2,191,160.661,102.533,190.309,190.73,0.283417835,,A,28,200
3,300,164.017,87.435,187.541,299.845,0.445558752,,Total,28,200
4,256,194.448,89.531,255,255.844,0.380174868,,,,
5,262,157.351,95.844,185.209,261.871,0.389130771,,Length Conversion,,672.964
6,440,158.773,52.561,255,439.44,0.652991839,,,,
7,46,140.884,87.875,163.004,45.701,0.067910022,,Mean Length,0.29557081,
8,241,109.9,49.79,142.233,240.474,0.357335608,,Median Length,0.269143669,
9,57,101.832,62.883,122.23,57.161,0.084939165,,Standard Deviation,0.186905186,
10,56,115.048,50.56,168.606,55.975,0.083176812,,,,
11,397,131.708,56.696,161.617,396.124,0.58862584,,,,
12,364,150.414,68.963,172.869,366.261,0.54425051,,,,
13,462,144.099,65.241,255,463.196,0.68829239,,,,
14,259,165.836,83.667,255,259.013,0.384883887,,,,
15,49,113.33,80.257,135.066,48.905,0.072671049,,,,
16,241,132.009,58.957,166.849,240.553,0.357452999,,,,
17,285,146.476,69.333,170.56,284.299,0.422457962,,,,
18,51,144.926,86.926,176.267,50.464,0.074987667,,,,
19,588,145.101,99.972,161.162,588.596,0.874632224,,,,
20,35,82.185,64.05,100.395,34.687,0.051543619,,,,
21,49,88.121,53.667,127.12,48.425,0.071957787,,,,
22,424,152.864,49.232,255,426.598,0.633909095,,,,
23,297,154.201,101.164,177.918,297.108,0.44149167,,,,
24,387,141.817,88.297,165.434,386.775,0.574733567,,,,
25,84,108.322,76.13,133.349,84.005,0.124828371,,,,
26,65,121.041,74.817,150.695,64.531,0.095890716,,,,
27,59,125.737,77.53,153.566,58.464,0.086875375,,,,
28,148,145.683,95.083,255,147.748,0.219548148,,,,
29,377,156.35,106.411,177.251,376.086,0.558850102,,,,
30,285,151.801,104.333,255,284.811,0.423218775,,,,
31,55,156.459,87.537,184.781,54.037,0.080297014,,,,
32,149,131.472,78.857,151.349,148.639,0.220872142,,,,
33,112,173.191,121.365,185.728,111.698,0.165979161,,,,
34,189,150.18,100.667,178.158,188.071,0.279466658,,,,
35,359,162.249,89.046,188.341,358.595,0.532859113,,,,
36,190,170.029,119.333,189.464,189.31,0.281307767,,,,
37,324,175.546,123.616,255,323.9,0.481303606,,,,
38,148,153.352,55.258,255,147.391,0.219017659,,,,
39,108,149.76,72.164,255,107.841,0.160247799,,,,
40,308,135.851,64.264,159.239,307.545,0.457000672,,,,
41,119,139.547,59.569,160.98,118.527,0.176126806,,,,
42,131,169.804,92.369,185.445,130.544,0.193983631,,,,
43,18,132.551,82.48,156.734,17.029,0.025304474,,,,
44,110,112.68,53.584,154.002,109.435,0.162616425,,,,
45,136,150.088,86.72,169.926,135.775,0.201756706,,,,
46,115,148.586,85.658,174.4,114.113,0.169567763,,,,
47,118,141.977,95.517,178.013,117.172,0.174113326,,,,
48,326,132.791,88.024,255,325.9,0.484275533,,,,
49,119,142.79,109,160.754,118.79,0.176517615,,,,
50,283,141.697,90.672,255,282.078,0.419157637,,,,
51,208,161.178,80.738,255,207.022,0.307627154,,,,
52,107,136.901,80.667,160.385,106.496,0.158249178,,,,
53,152,133.702,86.575,157.372,151.163,0.224622714,,,,
54,65,136.083,79.845,170.203,64.672,0.096100237,,,,
55,431,144.242,82.121,172.636,430.833,0.64020215,,,,
56,117,169.816,110.45,255,116.235,0.172720978,,,,
57,214,151.249,67.848,181.34,213.939,0.317905564,,,,
58,106,144.528,63.599,255,105.091,0.156161399,,,,
59,152,123.274,92.589,147.444,151.4,0.224974887,,,,
60,68,135.41,27.667,255,67.418,0.100180693,,,,
61,150,127.604,26.333,157.593,149.763,0.222542365,,,,
62,258,139.033,105.848,169.389,258.015,0.383400895,,,,
63,69,110.456,78.266,131.126,68.396,0.101633966,,,,
64,18,92.248,68.007,104.925,17.205,0.025566004,,,,
65,367,149.331,64.111,175.074,366.499,0.544604169,,,,
66,206,171.671,104.651,192.643,206.764,0.307243775,,,,
67,250,133.951,59.156,170.194,249.345,0.370517591,,,,
68,180,149.877,94.182,171.2,179.628,0.266920667,,,,
69,92,149.485,100,171.657,91.476,0.135930005,,,,
70,70,154.049,87.838,255,69.332,0.103024827,,,,
71,305,155.371,68.665,174.23,305.021,0.4532501,,,,
72,234,157.74,92,206.794,234.006,0.347724395,,,,
73,185,153.404,89.856,179.851,184.894,0.274745752,,,,
74,306,136.953,57.364,255,305.579,0.454079267,,,,
75,326,163.155,97.74,255,326.095,0.484565296,,,,
76,158,154.875,126.277,183.002,157.584,0.234164086,,,,
