,area,mean,min,max,length,mm,,,,,,,,
21,155,138.965,82.704,166.249,154.347,0.222049745,,,,,,,,
1,150,156.31,102.085,193.802,149.256,0.21472563,,,,,,,,
23,144,175.335,97.373,195.14,143.607,0.206598753,,,,,,,,
2,129,162.056,89.947,186.633,128.951,0.185514048,,,,,,,,
13,128,124.364,75.257,146.169,127.835,0.183908526,,,,,,,Stats for longest 20,
31,128,140.346,70.048,161.217,127.69,0.183699923,,Picture,No Tubes,Tubes,,,,
12,126,133.896,69.016,159.204,125.964,0.18121683,,A,216,10,,,Mean,0.148734716
14,117,118.11,55.842,136.667,116.379,0.167427467,,,,,,,Standard Error,0.008982687
25,99,176.683,96,207.628,99.405,0.143007995,,,,,,,Median,0.132616699
11,96,147.737,133.333,163.864,95.619,0.137561304,,,,,,,Mode,#N/A
17,89,113.968,77,143.657,88.745,0.127672094,,,,,,,Standard Deviation,0.040171799
33,88,142.74,89.559,170.301,87.156,0.125386095,,,,,,,Sample Variance,0.001613773
8,87,138.746,61,167.33,86.53,0.124485506,,Length Conversion,695.101,,,,Kurtosis,-1.225619192
38,85,144.099,75.811,175.667,84.475,0.121529102,,,,,,,Skewness,0.529679017
20,81,114.7,88.864,133.411,80.66,0.11604069,,Mean Length,0.118080202,,,,Range,0.117533998
37,77,123.751,71,153.351,76.686,0.110323536,,Median Length,0.104128033,,,,Minimum,0.104515747
32,75,151.816,87.186,178.448,74.478,0.107147019,,Standard Deviation,0.046029194,,,,Maximum,0.222049745
19,74,143.858,114.344,175.524,73.946,0.106381663,,Maximum,0.222049745,,,,Sum,2.974694327
30,74,132.056,100.299,174.199,73.335,0.105502654,,,,,,,Count,20
36,73,151.853,88.333,171.641,72.649,0.104515747,,,,,,,,0
34,73,124.619,80,161.921,72.11,0.10374032,,,,,,,,
3,70,122.161,73.668,142.887,69.151,0.099483384,,,,,,,,
5,69,137.295,78.9,152.388,68.6,0.098690694,,,,,,,,
22,69,151.597,87,180.279,68.43,0.098446125,,,,,,,,
40,68,149.52,85,174.292,68.033,0.097874985,,,,,,,,
35,68,124.433,80.333,144.857,67.234,0.096725512,,,,,,,,
29,66,146.248,109.242,201,65.582,0.094348879,,,,,,,,
15,63,139.342,110.352,156.517,62.368,0.08972509,,,,,,,,
24,62,130.452,83.667,172.493,61.271,0.088146902,,,,,,,,
6,61,127.143,54.746,154.84,60.374,0.086856442,,,,,,,,
4,60,144.495,83.689,157.43,59.991,0.086305443,,,,,,,,
39,60,110.242,53.22,153.747,59.876,0.08614,,,,,,,,
18,60,109.513,82.924,139.018,59.588,0.085725672,,,,,,,,
10,57,152.953,78.574,167.347,56.124,0.080742223,,,,,,,,
28,52,159.085,85.333,188.984,51.729,0.074419401,,,,,,,,
26,52,143.107,119.997,162.618,51.087,0.073495794,,,,,,,,
16,50,108.29,61.629,132.259,49.682,0.071474505,,,,,,,,
27,47,154.557,94.333,171.006,46.106,0.066329929,,,,,,,,
7,43,119.585,76.374,140.019,42.197,0.060706286,,,,,,,,
9,37,125.77,74.719,142.462,36.62,0.052682991,,,,,,,,
