 ,Area,Mean,Min,Max,Length,Length (mm),,,
19,679,160.938,56.202,184.131,678.735,0.991596626,,Conversion,684.487
21,638,166.039,19.439,191.662,637.652,0.931576495,,,
11,627,131.232,35.924,168.53,626.908,0.915880068,,,
34,607,139.639,85.006,182.902,606.253,0.885704184,,,
38,599,143.973,34.664,189.564,598.346,0.874152467,,Column1,
23,590,162.441,71.667,187.478,589.325,0.860973254,,,
37,583,146.111,70.719,180.105,582.79,0.851425958,,Mean,0.835764814
9,578,150.403,82.735,186.157,577.153,0.843190594,,Standard Error,0.013863672
26,576,175.925,113.441,200.837,575.965,0.841454987,,Median,0.830557045
27,574,157.161,66.041,201.849,573.406,0.837716421,,Mode,#N/A
28,564,180.582,42,200.041,563.605,0.823397669,,Standard Deviation,0.062000225
24,555,135.93,59.48,161.999,555.63,0.811746607,,Sample Variance,0.003844028
31,552,144.029,73.976,168.865,552.052,0.806519335,,Kurtosis,0.684699369
14,550,141.335,94.667,162.6,549.542,0.802852355,,Skewness,0.851138328
20,545,128.538,66.784,161.292,544.369,0.79529487,,Range,0.240605008
16,543,149.538,74.445,179.635,542.352,0.792348138,,Minimum,0.750991619
12,530,132.242,26,174.158,529.756,0.773946035,,Maximum,0.991596626
8,529,160.394,91.762,192.905,528.793,0.772539142,,Sum,16.71529627
4,515,125.863,70.128,166.495,514.727,0.751989446,,Count,20
29,514,178.135,126.617,196.604,514.044,0.750991619,,,0
25,503,157.337,90.667,173.931,502.824,0.734599781,,,
22,495,137.351,85.929,162.257,494.403,0.722297136,,,
39,491,173.365,107.667,197.916,490.898,0.717176513,,,
36,486,146.344,43.858,172.408,485.714,0.709602958,,,
35,484,137.742,78.806,172.936,483.841,0.706866602,,,
18,483,143.68,78.339,174.519,482.653,0.705130996,,,
13,481,124.018,33.503,157.574,480.564,0.702079075,,,
3,481,127.743,71.781,155.057,480.386,0.701819027,,,
40,477,170.689,99.887,206.161,476.519,0.69616954,,,
32,476,176.575,74.105,197.892,475.285,0.69436673,,,
33,475,137.826,72.684,161.1,474.377,0.693040189,,,
15,471,146.776,94.598,168.15,470.847,0.687883042,,,
6,464,158.109,89.108,181.43,463.582,0.677269254,,,
30,459,153.425,106.778,173.525,458.777,0.670249398,,,
17,432,151.299,65.032,184.287,431.661,0.630634329,,,
2,403,152.972,83.577,175.88,402.846,0.588537109,,,
10,394,160.471,92.523,177.468,393.999,0.575612101,,,
5,376,153.067,66.316,192.761,375.992,0.549304808,,,
7,368,141.43,67.673,171.375,367.448,0.536822467,,,
1,332,112.061,65.245,152.191,332.731,0.486102731,,,
