 ,Area,Mean,Min,Max,Length,Length (mm),,,
16,40,126.607,102.694,141.825,41.331,0.061112959,,Conversion,676.305
35,36,150.1,125.575,186.039,35.531,0.052536947,,,
30,29,128.639,106.708,154.565,28.755,0.042517799,,,
5,27,145.504,104.477,166.192,26.282,0.038861165,,Column1,
7,23,124.48,109.21,159.805,22.361,0.033063485,,,
9,23,134.5,115.899,155.343,22.361,0.033063485,,Mean,0.031656871
27,22,121.841,87.439,162.227,21.213,0.031366026,,Standard Error,0.002276842
33,22,169.648,146.004,185.791,21.095,0.031191548,,Median,0.028286794
14,22,106.417,59.612,144.217,21.024,0.031086566,,Mode,0.033063485
15,20,138.929,116.025,153.203,19.235,0.02844131,,Standard Deviation,0.010182348
20,20,119.881,102.154,133.571,19.026,0.028132278,,Sample Variance,0.00010368
6,19,105.056,78.877,135,18.893,0.027935621,,Kurtosis,3.106153982
26,18,113.54,101.333,128.832,17.889,0.026451083,,Skewness,1.806358261
28,18,125.135,108.388,135.072,17.263,0.025525466,,Range,0.038933617
29,17,120.484,89.959,144.81,17.007,0.025146938,,Minimum,0.022179342
1,17,126.404,108.904,160,16.279,0.024070501,,Maximum,0.061112959
12,17,127.875,83.349,162.16,16.125,0.023842793,,Sum,0.633137416
18,17,138.49,122,164,16,0.023657965,,Count,20
31,16,90.705,84.363,95.274,15.524,0.022954141,,,0
24,16,130.685,113.627,159,15,0.022179342,,,
25,16,148.283,137,160,15,0.022179342,,,
32,15,101.392,78.087,126.667,14.866,0.021981207,,,
22,15,128.803,100.319,171.492,14.765,0.021831866,,,
3,15,144.584,133.635,163.015,14.422,0.021324698,,,
8,15,119.407,110.015,132.333,14.422,0.021324698,,,
2,15,148.371,137.333,164.278,14.318,0.021170921,,,
13,15,134.184,125.075,143.068,14.318,0.021170921,,,
23,15,123.886,98.869,171.183,14.318,0.021170921,,,
34,15,139.209,124.165,171.275,14.213,0.021015666,,,
17,14,126.486,114.062,149.667,13.892,0.020541028,,,
4,14,132.722,119.344,152.063,13.601,0.020110749,,,
11,14,116.904,101.938,129.843,13.601,0.020110749,,,
10,14,160.149,144.107,168.587,13.454,0.019893391,,,
19,14,115.852,86.332,152.354,13.153,0.019448326,,,
21,14,128.235,108.32,154.333,13,0.019222097,,,
