 ,Area,Mean,Min,Max,Length,Length (mm),,,
37,286,151.568,44.869,194.152,285.452,0.425846279,,Conversion,670.317
36,260,171.75,113,189.675,260.035,0.387928398,,,
13,250,144.057,34.333,195.656,250.3,0.373405419,,,
15,239,126.103,39.344,154.931,238.569,0.355904744,,Column1,
31,182,149.707,54.058,178.201,181.696,0.271059812,,,
1,171,156.283,58.595,182.78,170.446,0.254276708,,Mean,0.223811644
38,161,143.591,31.333,176.99,160.414,0.239310655,,Standard Error,0.020501728
27,153,172.04,64.667,196.052,152.704,0.227808634,,Median,0.178625188
32,124,139.504,72.577,188.325,124.105,0.185143745,,Mode,#N/A
10,121,145.709,57.333,172.881,120.795,0.180205783,,Standard Deviation,0.091686513
20,119,104.499,52.181,143.069,118.676,0.177044592,,Sample Variance,0.008406417
3,111,138.327,80.522,165.308,112.358,0.167619201,,Kurtosis,-0.023657977
16,112,131.92,101.386,166.84,111.946,0.167004566,,Skewness,1.147591194
2,111,143.736,23.333,172.482,110.845,0.16536206,,Range,0.286069128
8,110,105.021,33.785,158.909,109.811,0.163819506,,Minimum,0.13977715
40,104,163.898,85.882,209.777,103.942,0.155063947,,Maximum,0.425846279
39,102,142.635,57.537,201.291,101.953,0.152096695,,Sum,4.476232887
14,97,117.513,31.045,169.532,96.553,0.144040805,,Count,20
26,97,138.345,99.109,160.242,96.2,0.143514188,,,0
11,94,171.131,85.324,201.395,93.695,0.13977715,,,
33,94,141.449,53.353,175.552,93.646,0.13970405,,,
34,92,133.571,51.513,171.703,91.62,0.1366816,,,
22,91,143.909,85.067,172.268,90.956,0.135691024,,,
12,91,154.12,83.171,178.34,90.871,0.135564218,,,
21,89,133.982,61.36,166.612,89.003,0.132777477,,,
23,89,142.86,72.122,176.338,88.58,0.132146432,,,
28,88,117.132,73.743,152.712,87.824,0.131018608,,,
35,88,155.477,120.253,176.062,87.507,0.130545697,,,
19,88,112.287,57.407,148.888,87.16,0.130028032,,,
25,87,131.592,86.707,165.447,86.555,0.129125473,,,
9,84,108.82,67.26,157.667,83.906,0.125173612,,,
29,83,169.619,121.919,192.792,82.68,0.123344626,,,
4,83,139.428,83.54,170.291,82.594,0.123216329,,,
7,81,106.509,63.318,142.721,80.861,0.120630985,,,
30,80,96.186,30.565,148.39,80.76,0.12048031,,,
24,78,125.207,58.185,147.882,77.987,0.116343461,,,
5,77,123.964,71.367,177.981,76.835,0.114624872,,,
17,76,140.565,68.295,181.213,75.799,0.113079334,,,
18,75,112.032,53.592,150.767,74.421,0.11102359,,,
6,73,135.932,80.523,174.286,72.987,0.108884304,,,
