 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,46,115.486,69,155.632,45.122,0.066428856,,,,
2,167,117.549,61.875,159.257,166.341,0.244888134,,Picture,No Tubes,Tubes
3,44,99.603,76.521,119.771,43.456,0.063976162,,A,69,8
4,15,104.895,82.613,137.976,14.866,0.021885807,,B,,
5,15,89.805,51.313,138.37,14.422,0.021232148,,C,,
6,11,92.979,57.93,125.787,10.77,0.015855653,,D,,
7,74,113.07,78.775,137.995,73.687,0.108482406,,Total,69,151
8,25,90.003,52.039,144.333,24.318,0.035801093,,,,
9,11,54.54,32.207,103,10.296,0.015157828,,Length Conversion,679.253,
10,31,103.978,54.196,131.551,30.975,0.045601565,,,,
11,64,128.559,47.097,163.322,63.747,0.093848684,,Mean Length,0.082282471,
12,194,125.879,90.848,255,194.083,0.285730059,,Median Length,0.060949308,
13,62,115.345,70.36,171.264,61.294,0.090237364,,Standard Deviation,0.081987731,
14,25,113.828,41.83,255,24.839,0.036568112,,Max Length,0.584178502,
15,11,86.801,54.907,120.333,10,0.014722055,,Min length,0.013888787,
16,12,59.95,36.595,107.667,11.18,0.016459257,,,,
17,21,63.345,47.667,80.663,20.558,0.030265601,,,,
18,19,96.319,63.244,122.583,18.111,0.026663114,,,,
19,92,112.507,61.322,147.974,91.956,0.135378129,,,,
20,104,97.63,40.17,126.72,103.108,0.151796164,,,,
21,143,119.122,76.177,146.671,142.313,0.209513981,,,,
22,17,99.941,57.333,140.333,16,0.023555288,,,,
23,17,103.679,77.144,116.562,16.492,0.024279613,,,,
24,11,84.126,59.46,98.866,10.44,0.015369825,,,,
25,37,111.568,45.666,142.588,36.987,0.054452465,,,,
26,48,105.641,67.667,134.762,47.818,0.070397922,,,,
27,19,124.718,51.481,255,18.028,0.026540921,,,,
28,98,99.031,53.574,121.383,97.037,0.142858405,,,,
29,20,102.21,63.704,122.26,19.723,0.029036309,,,,
30,64,87.816,50.667,111.594,63.754,0.093858989,,,,
31,14,82.911,53.719,110.464,13.601,0.020023467,,,,
32,15,94.647,72.32,121.789,14.213,0.020924457,,,,
33,10,79.897,59.907,97.851,9.434,0.013888787,,,,
34,19,180.733,89.054,255,18.028,0.026540921,,,,
35,53,115.967,42.263,255,52.215,0.07687121,,,,
36,31,91.948,63.061,116.085,31.021,0.045669287,,,,
37,13,120.606,59.519,255,12.806,0.018853064,,,,
38,11,73.302,35.982,112.333,10.817,0.015924847,,,,
39,28,165.325,93.333,255,27.295,0.040183849,,,,
40,23,84.359,55.165,109.086,22.204,0.032688851,,,,
41,22,105.487,66.346,129.403,21.932,0.032288411,,,,
42,54,98.701,75.291,117.09,53.852,0.07928121,,,,
43,94,99.583,66.609,154.79,93.398,0.137501049,,,,
44,77,116.958,75.178,144.183,76.747,0.112987355,,,,
45,70,102.292,62.322,131.627,69.684,0.102589168,,,,
46,22,66.418,52.208,85.894,21.215,0.03123284,,,,
47,57,94.305,59.287,123.174,56.575,0.083290026,,,,
48,97,98.434,65.292,130.282,96.885,0.14263463,,,,
49,32,90.14,46.09,126.656,31.481,0.046346501,,,,
50,13,81.644,46.603,112.333,12.166,0.017910852,,,,
51,100,96.673,56.865,127.154,99.612,0.146649334,,,,
52,39,84.841,56.779,104.288,38.6,0.056827132,,,,
53,15,61.356,41.667,81,14,0.020610877,,,,
54,18,113.525,77.458,133.288,17.547,0.02583279,,,,
55,14,90.244,62.552,132.09,13.416,0.019751109,,,,
56,14,73.869,43.281,109.667,13.454,0.019807053,,,,
57,86,99.585,65.185,137.79,85.599,0.126019318,,,,
58,39,94.29,56.592,121.333,38.26,0.056326582,,,,
59,26,84.888,61.503,104.639,25.495,0.037533879,,,,
