 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,502,147.4,70.447,187.861,501.927,0.751573368,,,,
2,191,141.619,103.124,169.463,192.445,0.288162495,,Picture,No Tubes,Tubes
3,120,141.23,67.667,160.35,119.147,0.17840784,,A,39,25
4,379,152.124,75.248,206.707,378.674,0.567017302,,B,,
5,110,113.315,48.109,137.618,109.617,0.164137848,,C,,
6,15,55.514,45.027,68.585,14.866,0.022259989,,D,,
7,15,108.334,77.808,208.337,14.422,0.021595154,,Total,39,174
8,96,101.611,43.776,147.153,95.251,0.142626547,,,,
9,72,121.252,35.464,255,72.049,0.107884433,,Length Conversion,667.835,
10,96,104.581,55.886,174.381,95.755,0.143381224,,,,
11,62,139.515,85.176,255,61.229,0.091682826,,Mean Length,0.216472642,
12,47,144.098,52.029,255,46.909,0.070240404,,Median Length,0.119417221,
13,184,156.17,45.836,198.252,183.679,0.275036499,,Standard Deviation,0.23068571,
14,152,121.69,51.304,173.445,151.751,0.227228282,,,,
15,159,106.81,38.284,255,158.431,0.237230753,,,,
16,34,74.403,51.417,110.333,33.8,0.050611304,,,,
17,173,131.876,45.329,255,172.778,0.258713604,,,,
18,138,156.54,37.351,255,137.752,0.206266518,,,,
19,24,102.97,25.333,255,23.195,0.034731633,,,,
20,54,88.219,53.223,128.539,53.891,0.080695082,,,,
21,38,123.369,68.479,255,37.142,0.055615534,,,,
22,301,160.559,66.557,255,302.641,0.453167324,,,,
23,64,137.809,36.794,184.682,63.832,0.095580495,,,,
24,153,133.785,66.389,176.038,152.459,0.228288425,,,,
25,127,124.734,36.333,229.691,126.391,0.189254831,,,,
26,16,73.896,49.102,97.316,15.133,0.022659789,,,,
27,32,87.884,50.219,113.058,31.319,0.046896314,,,,
28,101,119.622,68.667,151.148,100.543,0.15055066,,,,
29,235,105.809,36.952,156.753,234.639,0.351342772,,,,
30,9,64.757,39.827,92.759,8.544,0.012793579,,,,
31,13,86.318,56.988,119.333,12.042,0.0180314,,,,
32,356,113.589,48.829,161.903,356.861,0.534355043,,,,
33,323,141.379,72.682,255,322.769,0.483306505,,,,
34,29,88.023,32.667,151.488,28.071,0.042032837,,,,
35,254,108.662,27.278,255,253.827,0.38007442,,,,
36,117,121.746,51.553,167.899,116.067,0.173795923,,,,
37,323,122.873,55.866,255,323.081,0.483773687,,,,
38,37,103.215,47.641,255,36.497,0.054649726,,,,
39,335,122.222,65.546,177.04,334.643,0.501086346,,,,
40,215,128.718,75.922,169.615,214.48,0.321157172,,,,
41,537,146.431,45.609,207.442,536.531,0.803388562,,,,
42,232,124.783,88.378,154.922,232.153,0.347620295,,,,
43,129,168.252,34.655,255,130.95,0.196081367,,,,
44,16,76.836,37.949,145.422,15.811,0.02367501,,,,
45,64,102.074,39.267,147.417,63.994,0.09582307,,,,
46,249,128.075,37.391,255,248.088,0.37148098,,,,
47,253,125.129,32.846,255,252.282,0.377760974,,,,
48,269,105.825,31.515,255,268.231,0.401642621,,,,
49,214,134.548,63.197,255,213.942,0.320351584,,,,
50,24,78.274,59.105,102.667,24.232,0.036284412,,,,
51,12,72.14,45.892,105,11.18,0.016740662,,,,
52,93,101.774,70.6,140.062,92.678,0.138773799,,,,
53,48,121.122,78.411,148.848,50.522,0.075650423,,,,
54,102,115.465,79.498,146.148,101.473,0.15194322,,,,
