 ,Area,Mean,Min,Max,Length,Light (mm),,,
1,24,133.08,109.134,181.553,23.247,0.034326595,,Conversion,677.23
2,31,125.593,99.75,142.667,31.891,0.047090353,,,
3,21,112.828,88.219,142.371,20.396,0.030116799,,,
4,28,151.435,130.742,173,27.278,0.040278783,,Column1,
5,18,132.056,119,144.667,17,0.025102255,,,
6,25,124.093,83.139,150,24.698,0.036469146,,Mean,0.030618979
7,20,89.576,82.295,107.318,19.799,0.029235267,,Standard Error,0.002540816
8,17,114.225,96.579,131.742,16.763,0.0247523,,Median,0.02956898
9,21,113.697,79.683,150,20.025,0.02956898,,Mode,#N/A
10,14,141.198,126.02,169.333,13,0.019195842,,Standard Deviation,0.008426933
11,15,132.089,121,148,14,0.020672445,,Sample Variance,7.10132E-05
,,,,,,,,Kurtosis,-0.072913442
,,,,,,,,Skewness,0.566351719
,,,,,,,,Range,0.027894511
,,,,,,,,Minimum,0.019195842
,,,,,,,,Maximum,0.047090353
,,,,,,,,Sum,0.336808765
,,,,,,,,Count,11
,,,,,,,,,0
