 ,Area,Mean,Min,Max,Length,Length(mm),,,
3,132,156.425,111.333,167.483,131.046,0.197656109,,Conversion,663
33,116,173.48,110.667,188.129,115.434,0.174108597,,,
36,111,152.321,114.667,163.086,110.277,0.166330317,,,
19,110,160.165,56,189.797,109.789,0.165594268,,,
11,104,164.234,80.667,184.172,103.783,0.156535445,,Column1,
6,103,144.194,83.333,158.604,102.751,0.154978884,,,
10,97,169.703,112.207,190.577,96.356,0.145333333,,Mean,0.141046908
1,90,165.737,114,182.86,89.442,0.134904977,,Standard Error,0.00476571
25,89,165.569,125.333,181.443,88.604,0.133641026,,Median,0.132754902
4,89,136.436,99.74,160.388,88.523,0.133518854,,Mode,#N/A
31,88,186.18,141,200.048,87.51,0.13199095,,Standard Deviation,0.021312903
24,87,141.42,108.926,150.521,86.699,0.130767722,,Sample Variance,0.00045424
26,87,133.1,101.242,145.148,86.023,0.129748115,,Kurtosis,1.055644856
5,85,140.686,98.481,154.114,84.876,0.1280181,,Skewness,1.272852532
32,85,146.969,91.872,183.434,84.837,0.127959276,,Range,0.078414781
7,83,129.4,53,151.082,82.294,0.12412368,,Minimum,0.119241327
38,82,142.334,87.251,163.138,81.476,0.122889894,,Maximum,0.197656109
15,82,150.59,113.829,162.886,81.093,0.122312217,,Sum,2.82093816
29,81,177.123,138.333,194.135,80.412,0.121285068,,Count,20
28,80,144.902,91.667,159.042,79.057,0.119241327,,,0
2,77,152.69,121.667,173.526,76.217,0.114957768,,,
17,76,161.496,111.333,171.792,75.769,0.114282051,,,
23,76,138.417,101.385,152.697,75.554,0.113957768,,,
37,76,131.894,84.873,156.909,75.186,0.113402715,,,
35,75,145.636,112.333,155.71,74.661,0.11261086,,,
9,75,142.21,70.667,153.63,74.477,0.112333333,,,
8,75,162.119,127.06,180.843,74.246,0.111984917,,,
14,74,145.283,104.457,159.921,73.341,0.11061991,,,
20,71,154.141,118.327,174.233,70.535,0.106387632,,,
13,71,137.908,103.171,162.16,70.352,0.106111614,,,
18,70,134.539,65.746,161.604,70.127,0.105772247,,,
16,67,144.861,93,155.105,66.896,0.100898944,,,
12,66,149.263,69.667,175.054,65.39,0.098627451,,,
39,64,128.265,89.625,146.093,64.051,0.096607843,,,
21,62,139.939,99.984,154.084,61.981,0.093485671,,,
22,59,153.962,107.051,172.488,58.694,0.088527903,,,
40,59,144.601,100.963,156.392,58.249,0.087856712,,,
27,58,138.307,95,150.679,57.099,0.086122172,,,
34,54,126.573,89.381,142.271,53.935,0.081349925,,,
30,53,124.659,59.23,169.504,52.161,0.078674208,,,
