 ,Area,Mean,Min,Max,Length,Length (mm),,,
21,1476,175.843,110.045,199.839,1475.658,2.204969204,,Conversion,669.242
1,1168,154.167,86.282,178.102,1167.407,1.744371991,,,
5,1152,163.636,107,189.325,1151.33,1.720349291,,,
39,1024,161.934,64.333,185.58,1024.603,1.530990285,,,
22,980,157.348,78.552,193.957,979.272,1.463255444,,Column1,
15,979,167.895,133.8,189.311,978.657,1.462336494,,,
12,958,165.213,101.67,192.197,957.534,1.43077392,,Mean,1.471697084
37,954,152.66,97.046,171.701,954.03,1.425538146,,Standard Error,0.046440653
27,952,173.845,108.859,203.49,952.308,1.422965086,,Median,1.403121741
25,940,154.405,84.037,187.822,939.821,1.404306663,,Mode,#N/A
19,939,163.563,121.543,195.916,938.235,1.401936818,,Standard Deviation,0.207688915
33,934,170.432,101.333,200.644,933.593,1.395000613,,Sample Variance,0.043134685
14,929,166.039,105.797,193.437,928.792,1.387826825,,Kurtosis,8.151399658
3,919,150.518,76.883,168.347,919.143,1.373409021,,Skewness,2.689499224
35,918,171.979,127.14,201.262,917.978,1.371668246,,Range,0.931157937
31,916,185.31,124.307,213.021,916.11,1.368877028,,Minimum,1.273811267
38,908,160.809,107.591,185.028,908.099,1.356906769,,Maximum,2.204969204
36,902,157.151,121.169,178.762,902.196,1.348086342,,Sum,29.43394168
8,902,153.306,70.971,180.036,901.176,1.34656223,,Count,20
7,853,146.543,107.433,182.876,852.488,1.273811267,,,0
24,842,164.635,77.713,193.867,841.563,1.257486828,,,
29,830,169.091,104.441,198.537,829.286,1.239142194,,,
40,828,172.683,69,196.649,827.259,1.236113394,,,
2,820,153.239,107.772,175.858,819.827,1.225008293,,,
16,803,161.864,117.083,185.656,802.256,1.198753216,,,
32,796,165.367,103.107,183.944,795.655,1.188889819,,,
17,784,185.485,120.602,215.712,783.317,1.170454036,,,
26,781,150.513,84.949,177.691,780.908,1.166854441,,,
34,765,152.734,109.286,178.889,765.287,1.143513109,,,
20,763,179.489,119.855,204.965,762.907,1.139956847,,,
6,748,158.254,119.584,184.665,748.681,1.118699962,,,
30,730,162.583,97.522,188.429,729.826,1.090526297,,,
9,716,154.741,104.675,179.765,715.945,1.069784921,,,
18,716,169.14,108.529,193.073,715.788,1.069550327,,,
23,712,174.65,112.667,198.249,711.439,1.06305193,,,
28,705,187.624,118.484,206.557,705.945,1.054842643,,,
13,702,166.297,95.123,197.468,701.801,1.048650563,,,
11,682,181.46,136.031,201.135,682.156,1.019296458,,,
10,661,153.206,92.979,176.028,660.806,0.987394694,,,
4,631,156.973,128.237,186.154,630.313,0.941831206,,,
