 ,Area,Mean,Min,Max,Length,Length (mm),,,
37,886,133.614,47.894,180.017,886.317,1.323230514,,Conversion,669.813
21,883,131.305,47.502,171.956,883.583,1.319148777,,,
26,881,132.896,62.391,172.083,880.755,1.314926703,,,
22,796,128.701,43.086,157.613,795.293,1.187335868,,,
35,773,156.265,113.23,180.441,772.691,1.153592122,,Column1,
28,769,155.365,41.452,178.115,768.796,1.147777066,,,
14,765,140.989,37.166,174.319,764.696,1.141655955,,Mean,1.106432691
20,749,153.699,47.667,179.184,748.672,1.11773286,,Standard Error,0.024805561
40,749,149.475,74.361,189.512,748.406,1.117335734,,Median,1.094832438
38,742,150.037,72.803,186.118,741.841,1.107534491,,Mode,#N/A
7,725,133.852,66.417,172.523,724.825,1.082130386,,Standard Deviation,0.110933841
33,719,156.199,67.443,184.908,718.328,1.072430663,,Sample Variance,0.012306317
13,699,152.993,71.004,183.039,698.525,1.042865695,,Kurtosis,-0.112012132
15,691,129.927,51.445,167.25,690.596,1.031028063,,Skewness,0.879773066
39,670,129.126,67.397,163.123,669.968,1.000231408,,Range,0.335889271
10,670,152.604,42.598,191.107,669.286,0.999213213,,Minimum,0.987341243
2,669,150.026,104.559,167.888,668.945,0.998704116,,Maximum,1.323230514
19,666,141.844,56.293,173.325,665.946,0.994226747,,Sum,22.12865382
18,664,137.016,80.057,182.872,663.257,0.990212194,,Count,20
3,662,151.152,87.666,164.12,661.334,0.987341243,,,0
31,661,160.238,55.415,185.193,660.721,0.986426062,,,
12,651,179.145,101.259,214.654,650.651,0.971392015,,,
17,640,144.656,102.309,172.339,640.879,0.956802869,,,
36,636,155.009,68.408,181.478,635.673,0.94903055,,,
8,635,150.878,89.833,177.083,634.742,0.94764061,,,
5,634,144.395,73.635,171.666,634.034,0.946583599,,,
1,632,143.831,72.602,165.673,631.569,0.942903467,,,
9,631,131.156,56.945,184.651,631.026,0.942092793,,,
23,626,145.71,58.519,181.952,625.267,0.933494871,,,
4,622,134.896,75.918,165.158,621.498,0.927867927,,,
16,616,195.032,107.133,219.959,615.65,0.919137132,,,
11,615,164.384,90.46,185.161,614.415,0.917293334,,,
30,613,160.488,74.125,207.735,612.334,0.914186497,,,
6,612,137.859,86.694,163.014,612.17,0.913941652,,,
32,604,148.922,41.809,177.649,603.706,0.90130529,,,
24,600,149.69,69.034,173.735,599.959,0.895711191,,,
29,600,145.127,73.277,173.046,599.871,0.895579811,,,
34,598,150.808,73.632,179.413,597.863,0.892581959,,,
27,597,171.911,83.86,188.109,596.966,0.89124278,,,
25,591,146.094,65.614,180.793,590.615,0.881761029,,,
