 ,Area,Mean,Min,Max,Length,mm,nm,,1 mm = ,667.167,,total pollen grains,
1,71,116.902,73.403,146.473,70.317,0.105,105.396,,,,,294,
2,97,124.34,64.57,151.921,96.063,0.144,143.986,,,,,,
3,93,116.35,70.276,137.959,91.638,0.137,137.354,,,,,average length,
4,193,128.825,67.547,161.072,192.065,0.288,287.881,,,,,208.407,nm
5,95,112.883,78.659,126.504,94.11,0.141,141.059,,,,,,
6,96,126.594,68.26,160,95.136,0.143,142.597,,,,,tube growth ratio,
7,302,117.514,65.247,138.362,300.697,0.451,450.707,,,,,47.96%,
8,20,88.873,50.584,111.614,18.788,0.028,28.161,,,,,,
9,23,81.28,47.733,101.196,21.587,0.032,32.356,,,,,,
10,29,83.257,60.705,94.609,27.77,0.042,41.624,,,,,,
11,178,153.024,90.667,175.068,177.297,0.266,265.746,,,,,,
12,152,133.375,66.373,158.231,150.827,0.226,226.071,,,,,,
13,189,118.119,62.854,142.685,188.191,0.282,282.075,,,,,,
14,19,71.276,53.469,87.942,17.889,0.027,26.813,,,,,,
15,57,94.782,51.091,126.161,56.234,0.084,84.288,,,,,,
16,107,115.651,78.163,178.333,105.889,0.159,158.714,,,,,,
17,87,135.57,65.834,174.622,85.504,0.128,128.160,,,,,,
18,64,102.627,66.124,124.17,62.523,0.094,93.714,,,,,,
19,47,107.017,74.954,128.885,46.058,0.069,69.035,,,,,,
20,238,141.606,79.199,162.107,236.843,0.355,354.998,,,,,,
21,117,135.298,71.237,175.479,115.805,0.174,173.577,,,,,,
22,32,101.505,78.652,119.11,30.75,0.046,46.090,,,,,,
23,80,108.231,79.995,130.653,78.587,0.118,117.792,,,,,,
24,70,123.639,70.667,147.079,69.382,0.104,103.995,,,,,,
25,75,108.696,62.222,138.094,74.254,0.111,111.297,,,,,,
26,332,134.081,59.779,160.41,330.979,0.496,496.096,,,,,,
27,193,110.319,34.561,142.164,192.205,0.288,288.091,,,,,,
28,151,108.026,50.024,141.218,149.559,0.224,224.170,,,,,,
29,133,120.6,63.746,150.627,131.912,0.198,197.720,,,,,,
30,122,117.219,34.587,143.971,121.387,0.182,181.944,,,,,,
31,17,89.585,62.742,107.255,15.556,0.023,23.317,,,,,,
32,34,89.103,55.832,114.59,32.65,0.049,48.938,,,,,,
33,192,114.914,59.509,140.739,191.038,0.286,286.342,,,,,,
34,75,100.482,64.239,255,73.72,0.110,110.497,,,,,,
35,88,96.34,44.714,255,86.792,0.130,130.090,,,,,,
36,197,116.397,44,255,195.705,0.293,293.337,,,,,,
37,44,91.016,40.582,122.837,43.29,0.065,64.886,,,,,,
38,58,61.687,23.374,125.126,56.748,0.085,85.058,,,,,,
39,68,84.894,33.667,115.527,66.677,0.100,99.940,,,,,,
40,128,92.885,32,144.762,126.566,0.190,189.707,,,,,,
41,75,73.525,39.433,255,73.825,0.111,110.654,,,,,,
42,226,128.218,25.208,158.575,225.069,0.337,337.350,,,,,,
43,54,122.108,70.387,255,53.391,0.080,80.026,,,,,,
44,59,92.821,32.667,129.678,58.139,0.087,87.143,,,,,,
45,359,119.71,40.046,144.15,358.145,0.537,536.815,,,,,,
46,126,102.357,59.673,122.872,124.814,0.187,187.081,,,,,,
47,425,136.046,61.971,159.226,424.158,0.636,635.760,,,,,,
48,239,109.929,36.333,138.108,237.719,0.356,356.311,,,,,,
49,19,80.535,42.79,104.722,17.692,0.027,26.518,,,,,,
50,64,100.752,60.869,117.028,62.948,0.094,94.351,,,,,,
51,192,124.292,50.203,167.333,190.771,0.286,285.942,,,,,,
52,527,124.205,45.932,166.003,525.699,0.788,787.957,,,,,,
53,62,88.983,18.333,255,61.199,0.092,91.730,,,,,,
54,60,102.977,35.667,138.636,58.912,0.088,88.302,,,,,,
55,22,82.579,48.635,113.253,21.471,0.032,32.182,,,,,,
56,18,101.073,40.182,255,17.088,0.026,25.613,,,,,,
57,55,113.488,46.21,255,53.637,0.080,80.395,,,,,,
58,99,89.187,36.342,255,98.195,0.147,147.182,,,,,,
59,86,84.412,43.566,134.667,84.719,0.127,126.983,,,,,,
60,86,84.412,43.566,134.667,84.719,0.127,126.983,,,,,,
61,259,113.507,61.313,137.179,258.058,0.387,386.797,,,,,,
62,103,106.169,62.502,124.721,102.027,0.153,152.926,,,,,,
63,63,111.377,79.899,139.314,61.946,0.093,92.849,,,,,,
64,68,91.727,59.494,118.874,67.413,0.101,101.044,,,,,,
65,59,94.465,45,114.562,57.804,0.087,86.641,,,,,,
66,73,91.058,40,139.034,71.837,0.108,107.675,,,,,,
67,353,129.548,34.502,168.341,351.821,0.527,527.336,,,,,,
68,83,93.801,38.667,118.269,81.734,0.123,122.509,,,,,,
69,89,103.5,50,159.568,87.729,0.131,131.495,,,,,,
70,61,115.8,47.017,150.118,59.98,0.090,89.903,,,,,,
71,76,105.757,61,136.535,74.969,0.112,112.369,,,,,,
72,67,75.754,39,107.105,66.387,0.100,99.506,,,,,,
73,278,128.575,44.993,255,277.038,0.415,415.245,,,,,,
74,245,133.818,63.271,255,244.386,0.366,366.304,,,,,,
75,15,60.286,31.17,102.476,13.601,0.020,20.386,,,,,,
76,93,132.106,82.051,155.699,92.397,0.138,138.492,,,,,,
77,170,121.301,35.135,255,169.423,0.254,253.944,,,,,,
78,78,97.901,57.398,149.182,77.288,0.116,115.845,,,,,,
79,65,89.848,33.783,151.83,63.55,0.095,95.254,,,,,,
80,92,131.413,65.859,161.552,91.441,0.137,137.059,,,,,,
81,339,147.3,65.519,190.253,337.568,0.506,505.972,,,,,,
82,367,143.909,54.889,255,366.335,0.549,549.090,,,,,,
83,77,99.962,48.82,116.204,75.941,0.114,113.826,,,,,,
84,142,105.104,45.725,151.726,141.305,0.212,211.799,,,,,,
85,92,108.177,79.333,130.078,91.433,0.137,137.047,,,,,,
86,375,126.211,43.409,146.034,374.302,0.561,561.032,,,,,,
87,51,96.793,67.819,128.066,50.155,0.075,75.176,,,,,,
88,74,121.57,67.695,153,73.192,0.110,109.706,,,,,,
89,450,149.566,51.694,168.667,449.034,0.673,673.046,,,,,,
90,208,93.755,36.56,131.504,207.333,0.311,310.766,,,,,,
91,69,109.419,71.667,130.736,67.584,0.101,101.300,,,,,,
92,543,134.24,43.103,255,541.861,0.812,812.182,,,,,,
93,261,103.101,33.22,255,259.877,0.390,389.523,,,,,,
94,365,117.259,53.684,155.752,364.236,0.546,545.944,,,,,,
95,130,128.617,57,255,128.783,0.193,193.030,,,,,,
96,162,102.523,44.398,137.09,160.904,0.241,241.175,,,,,,
97,138,104.567,53.829,255,136.932,0.205,205.244,,,,,,
98,127,113.547,75,255,126.124,0.189,189.044,,,,,,
99,26,86.211,46.667,144.667,25.263,0.038,37.866,,,,,,
100,69,92.912,45.722,146.765,67.756,0.102,101.558,,,,,,
101,720,131.336,41.994,172.867,718.734,1.077,1077.292,,,,,,
102,247,125.656,43.889,163.128,245.764,0.368,368.370,,,,,,
103,140,110.894,38.3,146.451,138.754,0.208,207.975,,,,,,
104,35,82.466,45.192,111.756,34.224,0.051,51.298,,,,,,
105,36,76.83,42.333,93.421,35.371,0.053,53.017,,,,,,
106,158,97.245,27.254,152.543,157.223,0.236,235.658,,,,,,
107,452,130.936,35.036,255,450.514,0.675,675.264,,,,,,
108,71,161.796,62.823,255,69.852,0.105,104.699,,,,,,
109,109,78.691,31.864,133.172,107.809,0.162,161.592,,,,,,
110,102,127.466,84.333,155.295,100.527,0.151,150.677,,,,,,
111,239,139.183,78.687,255,238.341,0.357,357.243,,,,,,
112,20,83.868,54.281,109.824,19.105,0.029,28.636,,,,,,
113,16,94.756,69.333,157.667,15.264,0.023,22.879,,,,,,
114,76,84.48,36.509,139.543,75.027,0.112,112.456,,,,,,
115,45,86.836,51,255,44.362,0.066,66.493,,,,,,
116,52,56.304,30.585,70.162,50.866,0.076,76.242,,,,,,
117,131,104.941,61.815,255,130.199,0.195,195.152,,,,,,
118,64,82.341,19.635,125.048,63.201,0.095,94.730,,,,,,
119,78,106.107,42.015,129.645,77.068,0.116,115.515,,,,,,
120,242,114.574,25.167,163.432,241.408,0.362,361.840,,,,,,
121,197,117.613,62.812,147.928,196.017,0.294,293.805,,,,,,
122,77,109.802,49.051,133.561,75.604,0.113,113.321,,,,,,
123,102,121.769,36.55,155,101.163,0.152,151.631,,,,,,
124,255,154.253,58.312,180.707,254.001,0.381,380.716,,,,,,
125,483,138.86,39.212,164.16,482.084,0.723,722.584,,,,,,
126,159,105.608,69.979,149.346,157.928,0.237,236.714,,,,,,
127,64,98.413,41.145,154.649,63.042,0.094,94.492,,,,,,
128,53,109.027,87.333,126.352,51.858,0.078,77.729,,,,,,
129,128,131.961,70.079,156.012,126.699,0.190,189.906,,,,,,
130,85,127.636,78.375,151.453,84.254,0.126,126.286,,,,,,
131,80,112.993,66.285,145.333,78.543,0.118,117.726,,,,,,
132,196,117.271,61.055,155.937,195.317,0.293,292.756,,,,,,
133,91,119.926,52.948,188.833,90.096,0.135,135.043,,,,,,
134,24,83.437,62.417,134.5,23.118,0.035,34.651,,,,,,
135,62,132.936,74.318,161.868,60.971,0.091,91.388,,,,,,
136,27,105.604,66.076,130.553,25.71,0.039,38.536,,,,,,
137,100,113.162,87.381,255,99.286,0.149,148.817,,,,,,
138,334,146.036,66.01,255,333.085,0.499,499.253,,,,,,
139,356,151.593,54.283,202.596,355.287,0.533,532.531,,,,,,
140,44,99.645,75.136,131.008,42.717,0.064,64.027,,,,,,
141,128,96.638,43.425,138.905,126.565,0.190,189.705,,,,,,
