 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
1,235,138.529,63.386,163.057,234.88,0.358612392,,,,,
2,419,146.245,64.849,255,418.64,0.639175289,,Picture,No Tubes,Tubes,
3,399,173.945,98.613,255,398.954,0.609118905,,A,80,71,*quarter picture
4,60,124.485,53.85,156.839,59.319,0.090567645,,B,,,
5,121,127.235,60.864,160.496,120.156,0.183452957,,C,,,
6,71,102.297,50.342,127.109,70.104,0.107034073,,D,,,
7,117,116.584,83.31,160.826,116.027,0.177148842,,Total,80,269,
8,301,113.218,73.713,151.413,301.159,0.459806495,,,,,
9,254,96.561,40.633,147.003,253.818,0.387526738,,Length Conversion,654.969,,
10,94,101.674,52.252,151.091,93.981,0.143489234,,,,,
11,116,105.661,55.513,147.523,115.545,0.176412929,,Mean Length,0.173118965,,
12,53,106.498,57.98,133.726,52.435,0.080057224,,Median Length,0.11980338,,
13,31,89.832,51.957,117.557,30.414,0.046435786,,Standard Deviation,0.154950451,,
14,527,139.551,89.99,255,526.544,0.803922018,,,,,
15,51,107.436,76.822,140.6,50.541,0.077165484,,,,,
16,104,130.359,98.7,161.167,103.877,0.158598346,,,,,
17,134,127.728,81.659,190.875,133.937,0.204493648,,,,,
18,178,129.111,70.458,152.473,177.627,0.271199095,,,,,
19,275,142.14,66.333,255,274.297,0.418793867,,,,,
20,85,121.014,75.537,255,84.83,0.12951758,,,,,
21,24,90.351,65.25,129.855,23.345,0.035642908,,,,,
22,132,118.863,64.876,143.667,131.124,0.200198788,,,,,
23,90,137.819,88.667,183.205,90.633,0.138377542,,,,,
24,148,127.814,49.767,175.506,147.303,0.22490072,,,,,
25,167,137.107,60.231,255,166.159,0.253689869,,,,,
26,138,141.704,72.085,186.976,138.723,0.211800864,,,,,
27,198,132.971,92.309,176.748,197.714,0.301867722,,,,,
28,226,134.699,65.176,255,225.488,0.344272782,,,,,
29,102,126.67,37,168.295,101.711,0.155291319,,,,,
30,90,125.697,46,165.855,89.234,0.136241563,,,,,
31,84,128.268,69.895,166.281,83.872,0.128054916,,,,,
32,75,112.699,64.649,178.03,76.009,0.116049767,,,,,
33,97,120.113,80.264,180.103,96.296,0.147023752,,,,,
34,57,121.102,78.667,147.765,56.936,0.086929305,,,,,
35,106,140.814,66.033,255,106.105,0.162000034,,,,,
