 ,Area,Mean,Min,Max,Length,mm,nm,,1 mm =,670.317,,total pollen tubes,
1,437,151.603,1.158,187.18,436.453,0.651,651.114,,,,,290,
2,220,148.688,82.254,172.81,219.039,0.327,326.769,,,,,,
3,58,113.516,79.083,151.311,57.431,0.086,85.677,,,,,average length,
4,113,126.113,63.894,150.666,111.65,0.167,166.563,,,,,260.807,mm
5,88,99.922,51.858,139.244,86.65,0.129,129.267,,,,,,
6,19,97.153,66.333,133.333,17.507,0.026,26.117,,,,,tube growth rate,
7,168,120.76,62.545,255,167.349,0.250,249.657,,,,,54%,
8,38,78.301,61.789,128.667,37.125,0.055,55.384,,,,,,
9,18,89.836,72.204,165.75,17.205,0.026,25.667,,,,,,
10,37,89.241,62.986,122.992,36.053,0.054,53.785,,,,,,
11,141,139.502,93.906,255,140.388,0.209,209.435,,,,,,
12,339,162.211,52.192,187.801,338.125,0.504,504.426,,,,,,
13,21,101.218,67.13,138.812,20.402,0.030,30.436,,,,,,
14,240,116.774,13.079,191.653,239.087,0.357,356.678,,,,,,
15,62,117.159,86.321,160.748,61.246,0.091,91.369,,,,,,
16,70,129.089,80.221,152.153,68.541,0.102,102.252,,,,,,
17,19,94.02,74.833,115.667,18.062,0.027,26.945,,,,,,
18,17,93.693,51.616,119.391,16.225,0.024,24.205,,,,,,
19,23,88.685,38.449,114.333,22.472,0.034,33.524,,,,,,
20,17,90.419,57.833,123.839,16.008,0.024,23.881,,,,,,
21,501,153.243,57.564,255,499.509,0.745,745.183,,,,,,
22,22,77.132,34.333,121.333,20.809,0.031,31.044,,,,,,
23,18,82.837,72.471,91.41,16.763,0.025,25.008,,,,,,
24,18,64.3,37.333,97.679,17.029,0.025,25.404,,,,,,
25,17,109.502,95.849,129.667,16.378,0.024,24.433,,,,,,
26,18,81.691,58.333,115.476,17,0.025,25.361,,,,,,
27,183,113.796,24.402,158.53,182.15,0.272,271.737,,,,,,
28,102,118.505,75.083,147.072,100.98,0.151,150.645,,,,,,
29,25,75.591,31.197,140.38,23.505,0.035,35.065,,,,,,
30,79,132.42,42.667,177.013,77.944,0.116,116.279,,,,,,
31,20,104.23,52.863,157.167,19.138,0.029,28.551,,,,,,
32,22,90.967,61,121.5,21.024,0.031,31.364,,,,,,
33,522,147.849,69.311,180.932,520.973,0.777,777.204,,,,,,
34,65,88.939,25.871,132.248,64.153,0.096,95.705,,,,,,
35,20,89.233,43.333,147.489,19.416,0.029,28.965,,,,,,
36,72,127.332,39.738,255,71.11,0.106,106.084,,,,,,
37,123,131.198,44.854,167.142,122.455,0.183,182.682,,,,,,
38,18,83.92,44.5,116.244,17.007,0.025,25.372,,,,,,
39,93,111.138,48.167,146.83,92.251,0.138,137.623,,,,,,
40,244,107.951,28.856,152.47,243.159,0.363,362.752,,,,,,
41,383,136.329,40.506,169.805,381.859,0.570,569.669,,,,,,
42,290,120.622,62.326,159.334,288.879,0.431,430.959,,,,,,
43,323,132.842,38.099,164.491,321.6,0.480,479.773,,,,,,
44,270,127.013,55.333,157.567,269.146,0.402,401.520,,,,,,
45,587,162.12,82.872,193.851,586.439,0.875,874.868,,,,,,
46,266,150.692,80.912,255,264.799,0.395,395.035,,,,,,
