 ,Area,Mean,Min,Max,Length,mm,nm,,1 mm =,670.317,,total pollen grains,
1,290,144.301,94.958,166.793,288.645,0.431,430.610,,,,,231,
2,297,152.049,74.405,181.112,296.079,0.442,441.700,,,,,,
3,374,167.53,99.318,193.653,372.738,0.556,556.062,,,,,average tube length,
4,117,130.645,61.374,159.796,115.918,0.173,172.930,,,,,233.338,mm
5,20,89.484,66.456,122.333,19.026,0.028,28.384,,,,,,
6,73,119.059,75.749,151.822,71.842,0.107,107.176,,,,,tube growth rate,
7,19,77.879,53.333,124.667,17.889,0.027,26.687,,,,,63%,
8,32,85.826,48.709,120.301,30.662,0.046,45.743,,,,,,
9,65,111.262,68.333,141.802,63.743,0.095,95.094,,,,,,
10,17,79.146,46.557,109,15.524,0.023,23.159,,,,,,
11,21,79.393,41.108,116.867,19.849,0.030,29.611,,,,,,
12,112,130.259,67.358,159.065,111.209,0.166,165.905,,,,,,
13,107,113.824,54.333,152.312,105.524,0.157,157.424,,,,,,
14,19,89.37,58.648,120.667,18.028,0.027,26.895,,,,,,
15,80,119.145,43.69,165.667,79.352,0.118,118.380,,,,,,
16,130,123.227,55.995,149.627,129.283,0.193,192.868,,,,,,
17,235,114.908,32.102,161.157,233.673,0.349,348.601,,,,,,
18,89,80.877,22.403,123.573,87.519,0.131,130.564,,,,,,
19,146,124.88,63.689,160.575,145.496,0.217,217.056,,,,,,
20,693,136.604,26.234,254,692.032,1.032,1032.395,,,,,,
21,361,153.117,68.21,188.926,360.29,0.538,537.492,,,,,,
22,62,102.047,35.515,152.827,61.202,0.091,91.303,,,,,,
23,260,133.294,44.317,179.716,258.804,0.386,386.092,,,,,,
24,232,132.627,19.192,254,231.215,0.345,344.934,,,,,,
25,214,119.186,48.223,254,213.444,0.318,318.423,,,,,,
26,89,93.297,61.239,120.77,88.025,0.131,131.319,,,,,,
27,70,109.985,74.989,129.576,69.484,0.104,103.658,,,,,,
28,107,111.809,77.837,139.944,106.321,0.159,158.613,,,,,,
29,90,112.801,48.333,152.667,88.942,0.133,132.687,,,,,,
30,180,96.392,43.526,137.182,178.552,0.266,266.370,,,,,,
31,82,117.155,60.599,156.041,80.808,0.121,120.552,,,,,,
32,137,87.517,31.522,111.753,135.838,0.203,202.647,,,,,,
33,64,89.606,20.094,138.316,63.425,0.095,94.619,,,,,,
34,128,99.272,40.107,143.377,126.716,0.189,189.039,,,,,,
35,88,101.847,32.231,130.886,87.263,0.130,130.182,,,,,,
36,435,111.286,77.989,152.333,433.718,0.647,647.034,,,,,,
37,104,95.845,63.658,120.782,103.206,0.154,153.966,,,,,,
38,20,78.772,59.823,121.667,18.601,0.028,27.750,,,,,,
39,92,105.947,68.151,123.687,91.337,0.136,136.259,,,,,,
40,51,94.442,30.666,124.675,49.629,0.074,74.038,,,,,,
41,204,135.212,42.333,179.588,202.643,0.302,302.309,,,,,,
42,100,94.355,20.623,122.041,99.372,0.148,148.246,,,,,,
43,146,106.619,54.355,146.333,145.432,0.217,216.960,,,,,,
44,147,135.79,42.262,254,145.902,0.218,217.661,,,,,,
45,103,106.61,50.711,250.132,101.627,0.152,151.610,,,,,,
46,535,123.659,43.055,201.484,534.404,0.797,797.241,,,,,,
47,139,109.139,70.926,254,138.338,0.206,206.377,,,,,,
48,96,97.06,55.667,254,94.759,0.141,141.365,,,,,,
49,45,114.274,75.538,143.787,44.422,0.066,66.270,,,,,,
50,82,132.003,48,159.975,80.89,0.121,120.674,,,,,,
51,236,116.75,24,152.249,234.83,0.350,350.327,,,,,,
52,147,105.71,46.33,151.588,145.639,0.217,217.269,,,,,,
53,347,143.659,69,254,346.215,0.517,516.494,,,,,,
54,155,111.01,62.239,136.225,153.988,0.230,229.724,,,,,,
55,18,71.67,40.877,93.028,16.971,0.025,25.318,,,,,,
56,18,88.108,67,132.333,17.335,0.026,25.861,,,,,,
57,23,71.594,40.333,108.959,22.277,0.033,33.234,,,,,,
58,123,115.503,56.192,159.892,122.242,0.182,182.365,,,,,,
59,264,124.03,80.068,153.205,262.621,0.392,391.786,,,,,,
60,22,78.353,33.571,144.5,20.67,0.031,30.836,,,,,,
61,355,131.191,60.788,162.938,354.276,0.529,528.520,,,,,,
62,286,126.872,62.42,254,285.486,0.426,425.897,,,,,,
63,81,116.48,48.373,164.31,79.676,0.119,118.863,,,,,,
64,18,83.75,67,91.01,16.711,0.025,24.930,,,,,,
65,25,82.476,38.667,116.667,24.413,0.036,36.420,,,,,,
66,394,135.872,45.532,172.205,393.246,0.587,586.657,,,,,,
67,18,86.843,55.935,112.417,17.205,0.026,25.667,,,,,,
68,413,108.766,34.546,143.512,411.913,0.615,614.505,,,,,,
69,576,112.234,54.215,148.799,575.191,0.858,858.088,,,,,,
70,189,120.901,72.772,151.701,187.619,0.280,279.896,,,,,,
