 ,Area,Mean,Min,Max,Length,Length (mm),,,
32,51,63.203,34.981,99.583,51.156,0.076015501,,Conversion,672.968
40,34,92.522,51.395,134.667,33.797,0.050220813,,,
8,33,96.472,56.073,123.456,32.455,0.048226662,,,
9,33,93.64,70.187,120.063,32.173,0.047807622,,,
36,30,99.433,75.675,137.088,29.069,0.043195219,,Column1,
11,28,91.461,75.362,123,27.738,0.041217413,,,
33,28,99.345,73.483,116.805,27.295,0.040559135,,Mean,0.04081093
3,27,93.771,71.027,124,27.042,0.040183189,,Standard Error,0.002176966
6,27,91.948,45.087,117.333,26.542,0.039440211,,Median,0.037729134
30,26,104.985,75.159,133.198,25.601,0.038041928,,Mode,#N/A
10,26,97.382,82,123,25.18,0.037416341,,Standard Deviation,0.009735688
35,26,97.222,68.572,114.927,25.08,0.037267745,,Sample Variance,9.47836E-05
5,25,76.096,53.917,121.667,24.839,0.03690963,,Kurtosis,9.052331016
39,25,110.669,87.079,133.653,24.739,0.036761035,,Skewness,2.715390697
4,24,90.152,64.613,107.667,23.454,0.034851583,,Range,0.043844581
16,24,80.611,67.458,111.333,23.345,0.034689614,,Minimum,0.03217092
31,23,88.543,54.242,110.333,22.858,0.033965954,,Maximum,0.076015501
1,23,88.518,71.698,127,22.804,0.033885712,,Sum,0.816218602
7,23,85.643,68.796,112.049,22.472,0.033392375,,Count,20
24,21,82.978,70.556,96.59,21.65,0.03217092,,,0
37,21,101.031,81.812,122.156,20.459,0.030401148,,,
14,20,89.846,80.124,121.667,20.005,0.029726525,,,
22,20,79.763,56.864,136,19.686,0.029252505,,,
38,20,90.563,71.19,113.667,19.235,0.02858234,,,
15,20,79.652,63.58,110.667,19.105,0.028389166,,,
12,19,89.629,49.063,114.78,18.385,0.027319278,,,
2,19,108.005,65.976,124.667,18.358,0.027279157,,,
18,19,104.355,76.539,119.333,18.275,0.027155823,,,
17,19,96.802,75.736,116.771,18.111,0.026912127,,,
25,19,85.126,47.604,125.384,18.111,0.026912127,,,
28,19,83.429,73.602,103.333,18.111,0.026912127,,,
34,19,85.825,52.333,115.333,18,0.026747186,,,
21,17,60.975,37.248,108.667,16.971,0.025218138,,,
26,17,101.091,84.417,126.667,16.971,0.025218138,,,
20,17,87.097,57.516,140.333,16.155,0.024005599,,,
13,17,99.064,75.678,115.757,16.031,0.023821341,,,
19,16,96.939,68.94,120.22,15.982,0.023748529,,,
23,16,79.018,43.99,129.667,15.62,0.023210613,,,
27,16,91.479,73.587,118.72,15,0.022289321,,,
29,15,102.776,77.1,154.198,14.866,0.022090203,,,
