 ,Area,Mean,Min,Max,Length,Length (mm),,,
23,195,167.521,84.873,192.582,194.619,0.291862685,,Conversion,666.817
30,193,171.032,117.644,187.303,192.192,0.288223006,,,
4,189,145.071,66.766,167.665,190.769,0.286088987,,,
28,188,153.337,96.61,172.568,187.579,0.281305066,,,
18,188,153.77,75.472,177.162,187.416,0.281060621,,Column1,
27,187,165.549,61.444,190.068,186.682,0.279959869,,,
8,185,154.995,68.667,174.667,184.711,0.277004036,,Mean,0.246442577
38,163,147.101,71.217,175.494,162.461,0.24363656,,Standard Error,0.006711076
31,162,152.509,108.556,182.914,161.761,0.242586797,,Median,0.239536485
9,161,138.33,86.667,163.654,160.837,0.241201109,,Mode,#N/A
10,159,147.654,83.22,175.541,158.617,0.23787186,,Standard Deviation,0.030012846
34,158,152.779,103.537,185.799,157.641,0.23640819,,Sample Variance,0.000900771
6,155,147.157,88.818,161.139,154.875,0.232260125,,Kurtosis,-1.564405646
1,151,167.76,104.595,194.97,150.94,0.226358956,,Skewness,0.330428743
11,146,153.983,96.52,192.527,145.133,0.21765042,,Range,0.082739342
32,145,160.92,80.404,180.269,144.695,0.216993568,,Minimum,0.209123343
2,144,153.387,83.558,179.078,143.538,0.215258459,,Maximum,0.291862685
36,142,167.656,86.616,187.074,141.426,0.212091173,,Sum,4.928851544
3,142,160.004,100.161,181.589,141.303,0.211906715,,Count,20
24,140,158.551,86.189,184.105,139.447,0.209123343,,,0
37,140,160.696,98.58,185.676,139.444,0.209118844,,,
7,140,138.776,93.495,156.08,139.352,0.208980875,,,
35,135,143.918,74.111,176.359,134.787,0.202134919,,,
17,131,165.506,122,201.529,131.257,0.196841112,,,
25,132,171.906,134.333,191.746,131.181,0.196727138,,,
29,128,129.605,61.135,161.608,128.16,0.19219666,,,
5,128,171.17,104.333,192.353,128.119,0.192135174,,,
26,128,156.371,79.805,193.052,127.796,0.191650783,,,
22,128,175.946,73.667,203.967,127.354,0.190987932,,,
14,127,162.419,122.063,190.124,126.107,0.189117854,,,
16,125,157.38,117.562,184.598,124.524,0.186743889,,,
13,123,148.551,95.215,205.321,122.229,0.183302165,,,
21,122,161.893,113.333,180.529,121.758,0.182595825,,,
12,115,127.159,79.667,159.609,114.936,0.172365132,,,
39,113,174.891,127.177,197.718,112.425,0.168599481,,,
20,110,139.776,86.333,165.66,109.652,0.164440919,,,
19,110,149.121,91.264,167.507,109.438,0.164119991,,,
15,108,167.361,94.667,196.087,108.094,0.162104445,,,
40,107,179.629,73.174,218.832,106.367,0.159514529,,,
33,102,158.585,100.333,189.153,101.785,0.152643079,,,
